panel,n,ours_r1,ours_r2,ours_dist,ours_amp,mod_r1,mod_r2,mod_dist,mod_amp
US Senate 90,102,0.9996615951625513,0.9992896963037415,0.017597789691600262,1.008048794603181,0.9983463628237614,0.9952428416961688,0.053279184829290775,0.983694316163957
Chile · Chamber of Deputies · legislatura 368,161,0.9990582540488873,0.984050280260696,0.04965638457341471,0.9891619792450393,0.998038320969117,0.934776571204979,0.12454632749659982,0.9602042340785988
Chile · Chamber of Deputies · legislatura 366,155,0.9994253547425043,0.9935608625901095,0.033466183245424684,1.0107695954877995,0.9923533483155036,0.6772181406827523,0.20391184104855375,1.0496075329609391
Chile · Chamber of Deputies · legislatura 353,116,0.9981211380620486,0.9895855274871697,0.06904710353280712,1.007677800805874,0.9950612089477114,0.980186403003572,0.14303336515824222,0.8766184379371817
