"rollcall_id","midpoint1D","midpoint2D","spread1D","spread2D"
0,NA,NA,NA,NA
1,0.761989235877991,0.64758974313736,0.266350328922272,-0.194225758314133
2,NA,NA,NA,NA
3,0.488020241260529,0.872832357883453,0.145477160811424,0.153004795312881
4,0.442887932062149,0.896577060222626,0.164009302854538,0.174960523843765
5,NA,NA,NA,NA
6,0.133022993803024,-0.991113007068634,0.0560555942356586,-0.673194646835327
7,NA,NA,NA,NA
8,NA,NA,NA,NA
9,NA,NA,NA,NA
10,-0.0890651643276215,0.0602148175239563,0.606668174266815,-0.895804166793823
11,NA,NA,NA,NA
12,NA,NA,NA,NA
13,-0.00702100992202759,0.999975383281708,0.0594016350805759,0.345637857913971
14,NA,NA,NA,NA
15,0.317384093999863,-0.206577330827713,0.18573834002018,-1.6540459394455
16,NA,NA,NA,NA
17,NA,NA,NA,NA
18,-0.154117554426193,-0.988052546977997,-0.207676738500595,-0.483716636896133
19,NA,NA,NA,NA
20,NA,NA,NA,NA
21,NA,NA,NA,NA
22,NA,NA,NA,NA
23,NA,NA,NA,NA
24,NA,NA,NA,NA
25,NA,NA,NA,NA
26,NA,NA,NA,NA
27,0.305989772081375,0.378598272800446,0.456176280975342,1.40954351425171
28,NA,NA,NA,NA
29,0.232535511255264,-0.972587943077087,0.0594094283878803,-0.515645265579224
30,NA,NA,NA,NA
31,NA,NA,NA,NA
32,NA,NA,NA,NA
33,NA,NA,NA,NA
34,-0.160989850759506,-0.281607568264008,-0.0151819922029972,0.129794433712959
35,NA,NA,NA,NA
36,0.800628960132599,-0.599160611629486,0.155922740697861,-0.204991772770882
37,NA,NA,NA,NA
38,NA,NA,NA,NA
39,NA,NA,NA,NA
40,0.239366054534912,0.374536544084549,0.437421262264252,1.4264794588089
41,0.488757759332657,0.872419595718384,0.0299999993294477,0.511523067951202
42,-0.046431627124548,-0.998921513557434,0.19364170730114,-0.267581790685654
43,NA,NA,NA,NA
44,NA,NA,NA,NA
45,NA,NA,NA,NA
46,NA,NA,NA,NA
47,0.125720307230949,0.0227129925042391,0.303021639585495,-0.0133895529434085
48,-0.00998534541577101,0.000854292942676693,0.676074326038361,-0.43163001537323
49,0.0330671370029449,0.0540121980011463,0.298052340745926,0.0286874826997519
50,0.110746771097183,-0.0387112759053707,0.728756129741669,-0.416798114776611
51,2.62847170233727e-05,0.00154129543807358,0.668268799781799,-0.48869264125824
52,NA,NA,NA,NA
53,0.112621307373047,-0.993638038635254,0.42218491435051,1.06053185462952
54,NA,NA,NA,NA
55,NA,NA,NA,NA
56,NA,NA,NA,NA
57,NA,NA,NA,NA
58,-0.821691989898682,0.569931864738464,-0.640440940856934,-1.28559494018555
59,NA,NA,NA,NA
60,NA,NA,NA,NA
61,NA,NA,NA,NA
62,NA,NA,NA,NA
63,0.943943202495575,-0.330108046531677,-0.184019476175308,0.375873684883118
64,NA,NA,NA,NA
65,NA,NA,NA,NA
66,0.195101886987686,0.980782985687256,0.0783944427967072,0.0302339382469654
67,NA,NA,NA,NA
68,NA,NA,NA,NA
69,NA,NA,NA,NA
70,NA,NA,NA,NA
71,0.353408515453339,-0.935469150543213,0.178430914878845,-0.326372504234314
72,NA,NA,NA,NA
73,NA,NA,NA,NA
74,0.93697863817215,0.349386781454086,0.042421218007803,-0.620533108711243
75,NA,NA,NA,NA
76,NA,NA,NA,NA
77,NA,NA,NA,NA
78,NA,NA,NA,NA
79,NA,NA,NA,NA
80,0.0190176703035831,0.0737478286027908,0.664905190467834,0.675710022449493
81,NA,NA,NA,NA
82,0.0301311705261469,0.000991244451142848,0.690776169300079,0.724065482616425
83,NA,NA,NA,NA
84,NA,NA,NA,NA
85,NA,NA,NA,NA
86,NA,NA,NA,NA
87,NA,NA,NA,NA
88,-0.137149900197983,-0.990550339221954,0.0661357641220093,0.235740885138512
89,NA,NA,NA,NA
90,-0.900503993034363,0.434847861528397,0.187042713165283,0.179420650005341
91,0.760625302791595,-0.649191200733185,-0.161300897598267,0.334704518318176
92,NA,NA,NA,NA
93,NA,NA,NA,NA
94,NA,NA,NA,NA
95,NA,NA,NA,NA
96,NA,NA,NA,NA
97,NA,NA,NA,NA
98,NA,NA,NA,NA
99,NA,NA,NA,NA
100,0.982402384281158,-0.18677707016468,0.23431833088398,1.34427034854889
101,0.0722223669290543,-0.997388601303101,0.132341802120209,-0.0657964423298836
102,-0.0518744252622128,0.321831524372101,0.0244222842156887,0.797333478927612
103,NA,NA,NA,NA
104,NA,NA,NA,NA
105,0.0201879814267159,0.00536793377250433,0.689876794815063,-0.532861828804016
106,NA,NA,NA,NA
107,NA,NA,NA,NA
108,NA,NA,NA,NA
109,NA,NA,NA,NA
110,-0.0803529769182205,0.996766567230225,0.231359481811523,0.501536965370178
111,NA,NA,NA,NA
112,NA,NA,NA,NA
113,NA,NA,NA,NA
114,NA,NA,NA,NA
115,0.0673661679029465,0.74409806728363,0.368634313344955,0.694595158100128
116,0.179523169994354,-0.347812861204147,0.233210504055023,0.446207702159882
117,0.293343394994736,-0.941813468933105,0.337178409099579,0.496118783950806
118,NA,NA,NA,NA
119,NA,NA,NA,NA
120,NA,NA,NA,NA
121,NA,NA,NA,NA
122,0.933503329753876,-0.358568906784058,-0.133495688438416,0.157503932714462
123,-0.541734099388123,-0.840550005435944,-0.0335402227938175,1.26848435401917
124,0.213207647204399,0.127866342663765,-0.16262349486351,-0.30564284324646
125,NA,NA,NA,NA
126,NA,NA,NA,NA
127,0.0510780327022076,0.95307731628418,0.25236502289772,0.694437146186829
