iteration,log_likelihood,w2,beta,delta_log_likelihood
1,-29616.156959313470,0.744417658834,0.160061366092,0.000000000000
2,-17495.297631811361,0.670891770291,1.704419218453,12120.859327502108
3,-15918.419132211284,0.679414338300,2.496130382384,1576.878499600078
4,-15531.927567681701,0.686285781868,2.974951612630,386.491564529582
