legislator_id,period,coord1D,coord2D,effective_model
132,1,0.05133133582217202,-0.44149768369065417,2
137,1,-0.83579425663360118,-0.42254823055572488,2
140,1,-0.73201137553194262,-0.01341091005849610,2
150,1,-0.81374809292626460,0.31599919726058379,2
151,1,0.81694393930872622,0.57671198165186510,0
155,1,0.48133377454147253,-1.04730326315222122,2
159,1,0.69765369062174210,0.33070220630274816,2
161,1,0.19463510672595588,-0.60280016075809106,2
164,1,0.47285610701124370,-0.89394068415752370,2
165,1,0.83334631674196047,0.17287699515699789,2
166,1,0.89675904194716338,0.34235354866477186,2
169,1,-0.75983647346104732,0.43808276783250943,2
170,1,-0.39517793760327852,-0.44694786493790489,0
172,1,0.27777047527389231,-0.65750538096783884,2
173,1,-0.74787096838486933,0.17299635942174385,0
175,1,0.53813955206359887,0.99286534022677753,2
176,1,-0.88730727521152830,0.10377823850856277,2
177,1,-0.57771215532741360,0.67441682189323360,2
178,1,-0.39410855632329511,-0.58529291595005661,2
179,1,0.68631993453278217,0.68184629115022100,2
181,1,-0.67661174181210371,-0.26610346013847969,2
185,1,-0.53117684982636348,-0.36610405014531611,2
187,1,0.47744353165821884,0.38532232016514617,2
190,1,-0.29320424626377573,-0.21396932549738251,2
193,1,-1.03230824128980170,0.39935515366589153,2
195,1,-1.06787286597248521,0.37388563452363560,2
202,1,-0.46533464441274786,-0.12422409994493509,0
205,1,-0.86897309246965526,-0.06582223671171544,2
206,1,0.50395406086331596,-0.33138827484107425,2
208,1,0.81444257239280249,0.52077087077614259,2
209,1,0.11657653873919496,0.33641622724225045,2
211,1,-0.44702500438011306,-0.10880561955626429,1
213,1,-0.65756845737449121,-0.62496918986757299,2
220,1,-0.51711627551444184,-0.16553898307852880,2
221,1,-0.76269058131530609,0.99229534081831994,2
222,1,-0.75781244674240189,-0.35061650704370861,2
224,1,-0.48945413527147957,-0.27220984714082791,2
226,1,-0.49815042129158077,-0.25468049973698431,2
234,1,0.48067046069729291,0.55682698637895434,2
239,1,-0.24509421806236498,0.25304253331997562,2
800,1,-0.63043163437672800,0.25432767077841900,2
802,1,-0.70926626582725250,0.71224609069548706,2
804,1,-0.90977060248251751,-0.05486147506759313,2
805,1,0.35852819825386439,0.24358919298997492,2
806,1,0.60469985157997919,-0.83009316022395419,2
807,1,0.34032071814505760,0.46300179273998820,2
808,1,-0.84686709800984883,-0.04315638911152378,2
810,1,-0.69872205039749691,-0.02685822063425808,2
811,1,0.13202312887632850,0.15269895336627093,2
812,1,0.46283172900194824,0.48911359876493604,2
813,1,0.13747313603324932,-0.75236306639383588,2
814,1,0.46784200015565036,-0.85371535290838940,2
816,1,-0.79418047692158600,-0.49066887467713427,2
817,1,-0.98783526402240107,0.45866762352302931,2
