legislator_id,period,coord1D,coord2D,effective_model
74,1,-0.849757003686895,-0.080667721784902,0
132,1,0.396894724736079,-0.663711583449659,0
137,1,-0.490068783877362,-0.402800621171214,0
140,1,-0.512320939415939,-0.635687083436769,0
150,1,-0.846462997801913,0.091289517361913,0
151,1,0.885174020754902,0.465260091755784,0
155,1,0.466176348800569,-0.842794299217364,0
158,1,-0.808448367495015,0.412804568201021,0
159,1,0.680952904714721,0.501270544671976,0
161,1,0.431879869311262,-0.612280124821108,0
164,1,0.455281079464753,-0.612560526286248,0
165,1,0.778382960646978,0.325063191543483,0
166,1,0.231620373628838,-0.422459938172513,0
169,1,-0.755634092844369,0.459008103006380,0
170,1,-0.417275862975287,-0.447721014574907,0
172,1,0.757515238032378,-0.235239528640602,0
173,1,-0.734709976094107,0.087236014532674,0
175,1,0.740342333994154,0.672230041351983,0
176,1,-0.886311950237182,-0.089436941497769,0
177,1,-0.702494950796572,0.021691443171590,0
178,1,0.174068386391640,-0.816548028056101,0
179,1,0.730795394433957,0.682596580327002,0
181,1,-0.455150447090053,-0.246132062785896,0
185,1,-0.513736438836943,-0.319585873742513,0
187,1,0.635841047042074,0.600824918913147,0
190,1,-0.368354578367704,-0.647772167618554,0
193,1,-0.929318063807044,0.262854282199066,0
195,1,-0.954807894425924,0.170699891926033,0
202,1,-0.470515346108353,0.176849778526017,0
205,1,-0.710676278069427,0.541283974450353,0
206,1,0.585964823310336,0.649285807022361,0
208,1,0.731992817049153,0.615865933290264,0
209,1,0.835507132455753,0.335481096608393,0
211,1,-0.375561289799765,0.121309648979259,0
213,1,-0.538432228785547,-0.339310904333539,0
220,1,-0.493756873645644,0.000302155535858,0
221,1,-0.743020815844525,0.562527023927975,0
222,1,-0.562158057395785,-0.525880307794777,0
224,1,-0.582778896806096,-0.402860737371978,0
226,1,-0.446369906516509,-0.227791041569669,0
234,1,0.819208934026664,0.565770524042955,0
239,1,-0.518341690547703,-0.568732556120918,0
242,1,0.475683137224200,-0.642511420288825,0
660,1,-0.203948448982317,0.698938747509778,0
