legislator_id,period,coord1D,coord2D
10808,1,-0.961227059364319, 0.275758177042007
1366,1,-0.687677145004272,-0.726016700267792
14009,1, 0.211700946092606,-1.078285336494446
14101,1,-0.652363479137421,-0.757906317710876
14203,1,-0.696978747844696,-0.483972489833832
14213,1,-0.840429186820984,-0.353777408599854
14226,1, 0.447081416845322, 0.320306390523911
14230,1,-0.905511617660522,-0.021424856036901
14307,1,-0.892321228981018,-0.013123013079166
14400,1,-0.870217025279999,-0.405628085136414
14440,1,-0.849054396152496,-0.231393113732338
14503,1, 0.407892435789108,-0.009937174618244
14506,1, 0.186804249882698,-0.246137887239456
14651,1,-0.669372558593750, 0.064716547727585
14661,1,-0.078534081578255, 0.208302289247513
14709,1,-0.854154944419861,-0.212499156594276
14812,1,-0.704788446426392,-0.091544866561890
14826,1, 0.253063708543777,-0.360026657581329
14852,1, 0.472750008106232,-0.581187605857849
14858,1,-0.842527925968170,-0.108023375272751
14871,1,-0.831097602844238, 0.308323919773102
14910,1,-0.067040391266346,-0.283598005771637
14912,1,-0.784682810306549,-0.234000980854034
14914,1,-0.881899952888489,-0.139432549476624
14920,1,-0.812858819961548,-0.249272257089615
14921,1, 0.472152918577194,-0.278622210025787
14922,1,-0.810558736324310,-0.271258264780045
15011,1,-0.878673672676086, 0.120773151516914
15015,1,-0.729357600212097,-0.224747687578201
15021,1,-0.896162390708923, 0.024060111492872
15039,1, 0.501159191131592, 0.509576559066772
15054,1,-0.866359651088715,-0.382675975561142
15406,1, 0.704442858695984,-0.035410415381193
15408,1,-0.861157536506653,-0.102818064391613
15424,1, 0.591902792453766,-0.066474586725235
15425,1,-0.779506981372833,-0.338698625564575
15429,1, 0.503803312778473, 0.175155773758888
15501,1, 0.159696444869041,-0.987166225910187
15502,1,-0.702227652072906,-0.133090823888779
15703,1,-0.692886888980865,-0.026102516800165
15704,1,-0.636572539806366,-0.368655502796173
20115,1, 0.404966056346893, 0.914331793785095
20735,1,-0.875295221805573,-0.194213420152664
29142,1,-0.888958692550659,-0.246751978993416
29147,1,-0.909139037132263, 0.090399213135242
29305,1,-0.458734303712845,-0.191416308283806
29345,1, 0.516214132308960,-0.027389943599701
29373,1,-0.831022560596466,-0.026846237480640
29389,1,-0.874048948287964, 0.064877621829510
29512,1, 0.437507480382919, 0.172835722565651
29523,1, 0.451273649930954,-0.477438807487488
29534,1, 0.376389324665070,-0.493228465318680
29537,1, 0.629758417606354, 0.515095829963684
29548,1, 0.517737925052643, 0.309337794780731
29555,1, 0.684764087200165, 0.496148943901062
29566,1, 0.426321208477020, 0.281065255403519
29732,1,-0.775441169738770,-0.218854874372482
29754,1, 0.471635878086090, 0.122916594147682
29906,1,-0.662112653255463, 0.307097792625427
29909,1, 0.413439989089966,-0.036208130419254
29918,1, 0.545027732849121, 0.091407798230648
29924,1,-0.828954398632050, 0.076400369405746
29936,1, 0.846357345581055, 0.509325325489044
39310,1,-0.749902963638306, 0.019409891217947
40103,1,-0.336006224155426,-0.941859781742096
40105,1,-0.640794634819031,-0.767712354660034
40300,1, 0.055427111685276,-0.419880002737045
40301,1,-0.603920519351959,-0.713299393653870
40304,1, 0.222820296883583,-0.629894614219666
40305,1, 0.569032788276672, 0.177871972322464
40500,1,-0.640794634819031,-0.767712354660034
40501,1, 0.236196458339691, 0.073182597756386
40700,1,-0.630419373512268, 0.295383840799332
40701,1,-0.527177155017853, 1.077106714248657
40702,1,-0.648701548576355,-0.233126461505890
40703,1,-0.762545943260193,-0.203758329153061
40704,1,-0.902938067913055,-0.130134105682373
40705,1, 0.342271000146866, 0.035905465483665
40706,1,-0.565272569656372,-0.105865694582462
40707,1, 0.493945866823196, 0.055389657616615
40900,1,-0.686190068721771,-0.254315823316574
40901,1,-0.869217634201050, 0.058959752321243
40902,1, 0.534227252006531,-0.086229883134365
40903,1,-0.918012619018555,-0.178709715604782
40904,1,-0.878524243831635, 0.087024800479412
40905,1, 0.384879142045975,-0.144727230072021
40906,1,-0.743730366230011,-0.007399544119835
40907,1,-0.613296806812286,-0.299081355333328
40908,1,-0.854980349540710, 0.345331639051437
