replicate,replicate_seed,stage,status,elapsed_seconds,return_code,message
50,8034867408030101232,generate,succeeded,8.541304588317871,,
51,13846279827742453983,generate,succeeded,9.290756464004517,,
52,17110084101650211406,generate,succeeded,9.005563497543335,,
53,6985236974097866609,generate,succeeded,8.225209712982178,,
54,8895789436167310611,generate,succeeded,8.925786256790161,,
55,9863919712658092065,generate,succeeded,9.050776481628418,,
56,7200021210598256399,generate,succeeded,9.027949571609495,,
57,32181680532891159,generate,succeeded,8.956449270248413,,
58,3031733007305670791,generate,succeeded,9.323369979858398,,
59,3514996109393686482,generate,succeeded,8.961001634597778,,
60,16555467709419975504,generate,succeeded,9.0124671459198,,
61,14178912864679583062,generate,succeeded,8.929431915283203,,
62,2146261645933178135,generate,succeeded,9.28853678703308,,
63,1762313914888772427,generate,succeeded,9.364775896072388,,
64,11786938633286080001,generate,succeeded,8.95003604888916,,
65,9390900755782515434,generate,succeeded,9.001318454742432,,
66,379054185883440459,generate,succeeded,8.828075408935547,,
67,16086793062258542005,generate,succeeded,9.2138032913208,,
68,16921319492448667207,generate,succeeded,9.400975942611694,,
69,5939641743489347304,generate,succeeded,8.344576358795166,,
70,11483725660428305794,generate,succeeded,8.420689344406128,,
71,2706480348844148329,generate,succeeded,8.547302007675171,,
72,13584768651189203300,generate,succeeded,8.907325506210327,,
73,4422748198609479999,generate,succeeded,8.67357587814331,,
74,2831544886096147589,generate,succeeded,8.497957944869995,,
75,7608055494520979905,generate,succeeded,8.77663278579712,,
76,9887843403982717271,generate,succeeded,9.276060104370115,,
77,5649512177877841137,generate,succeeded,8.932227611541748,,
78,11751478622582883117,generate,succeeded,8.494404077529907,,
79,932880500813067575,generate,succeeded,8.782998085021973,,
80,13363901273935563218,generate,succeeded,9.733900547027588,,
81,2409406758521414819,generate,succeeded,9.064729928970335,,
82,16646567539492061057,generate,succeeded,8.72187852859497,,
83,14186382987862666504,generate,succeeded,8.836220979690552,,
84,11342056230404312229,generate,succeeded,8.931654930114746,,
85,10225092817195870124,generate,succeeded,8.760457277297974,,
86,8275639869984630872,generate,succeeded,8.869346141815186,,
87,11213607629925976305,generate,succeeded,8.374540090560913,,
88,1745189380275397436,generate,succeeded,9.0847270488739,,
89,1603026549705915966,generate,succeeded,9.07646131515503,,
90,9228359029848268401,generate,succeeded,8.875946283340454,,
91,11878635450347502403,generate,succeeded,9.346222639083862,,
92,9708978292537429146,generate,succeeded,9.064047813415527,,
93,284451751377900821,generate,succeeded,8.874454259872437,,
94,11755643827292491151,generate,succeeded,8.855372667312622,,
95,8351283048079084807,generate,succeeded,9.162047863006592,,
96,11029438932536330655,generate,succeeded,8.86035966873169,,
97,6647951396194663925,generate,succeeded,9.075223207473757,,
98,9091389633337122503,generate,succeeded,8.578679084777832,,
99,5791362322529485499,generate,succeeded,9.11114764213562,,
100,9036664091783392831,generate,succeeded,9.247901916503906,,
101,1019119601822256600,generate,succeeded,9.351119041442873,,
102,15436853739725542355,generate,succeeded,8.866147518157959,,
103,12796375089469022220,generate,succeeded,8.34611701965332,,
104,2086216243415043318,generate,succeeded,8.900848627090454,,
105,15896228490595603528,generate,succeeded,8.597473859786987,,
106,10284331370997819568,generate,succeeded,8.999270677566528,,
107,10295488783000455200,generate,succeeded,8.587593793869019,,
108,15187019047318382937,generate,succeeded,8.736403226852417,,
109,5103017650369564088,generate,succeeded,8.832711696624756,,
110,10309961303928913764,generate,succeeded,9.072357416152954,,
111,4133144786194223409,generate,succeeded,8.94209909439087,,
112,6100477100195915382,generate,succeeded,9.48315453529358,,
113,5076573019173965104,generate,succeeded,9.456690311431885,,
114,7980307938268571831,generate,succeeded,8.598045587539673,,
115,13917215533217769595,generate,succeeded,8.997869491577148,,
116,15686130100863110580,generate,succeeded,9.026856660842896,,
117,16415675410190890102,generate,succeeded,9.51242470741272,,
118,7509180030564223905,generate,succeeded,9.51539659500122,,
119,3679405142405877681,generate,succeeded,8.900980234146118,,
120,10316414776317223339,generate,succeeded,8.735715389251709,,
121,14651320582271973649,generate,succeeded,8.594817876815796,,
122,770344941471476911,generate,succeeded,8.591036081314087,,
123,4623249794395771727,generate,succeeded,8.178955793380737,,
124,13713913737872321035,generate,succeeded,9.069025754928589,,
125,5421522008067905088,generate,succeeded,9.08629822731018,,
126,14003975328582610861,generate,succeeded,9.03658890724182,,
127,3563820221628765272,generate,succeeded,9.732011556625366,,
128,3408053634985520163,generate,succeeded,8.907774686813354,,
129,10495479517419673024,generate,succeeded,8.6413733959198,,
130,15947380980497182366,generate,succeeded,8.787187814712524,,
131,15125821953565488284,generate,succeeded,8.660740852355957,,
132,11467596932847772320,generate,succeeded,9.184383869171144,,
133,7102170576986311841,generate,succeeded,9.29623532295227,,
134,15687791883368253350,generate,succeeded,8.875377893447876,,
135,1057005757036593309,generate,succeeded,8.003282308578491,,
136,9902972394092592341,generate,succeeded,9.142669200897217,,
137,13694955469909424616,generate,succeeded,9.208245754241943,,
138,10181602508366095611,generate,succeeded,9.58479619026184,,
139,12360153285270443039,generate,succeeded,8.851630449295044,,
140,442747799374140563,generate,succeeded,9.047969341278076,,
141,16125526663912119752,generate,succeeded,8.933176040649414,,
142,9164472973801369137,generate,succeeded,8.909883499145508,,
143,6185564224272183622,generate,succeeded,8.881227254867554,,
144,11389284760445367774,generate,succeeded,8.623784303665161,,
145,12324506851223858254,generate,succeeded,8.75698184967041,,
146,1630989629596977032,generate,succeeded,8.478654384613037,,
147,2341189279600920625,generate,succeeded,8.925380229949951,,
148,7893931371176123081,generate,succeeded,9.181620121002195,,
149,8557438638039256582,generate,succeeded,9.03010082244873,,
150,15231383364011387431,generate,succeeded,8.517004489898682,,
151,11922845131586513451,generate,succeeded,9.172811269760132,,
152,14642242277103891740,generate,succeeded,8.665747165679932,,
153,18087500399423860128,generate,succeeded,8.941886901855469,,
154,8510536669598339377,generate,succeeded,8.984248399734497,,
155,9790775619561844462,generate,succeeded,8.769516706466675,,
156,17979535289202048880,generate,succeeded,9.269185781478882,,
157,16408344425298703827,generate,succeeded,9.160624980926514,,
158,17811951553739962192,generate,succeeded,9.05052661895752,,
159,2713786725421602922,generate,succeeded,9.391031742095947,,
160,6247273904146881171,generate,succeeded,8.836190700531006,,
161,8082594390078121717,generate,succeeded,8.534236431121826,,
162,12344360235131062475,generate,succeeded,8.837539434432983,,
163,13143643167454010579,generate,succeeded,8.510935306549072,,
164,15361454625315821194,generate,succeeded,8.955012083053589,,
165,7097698324542923661,generate,succeeded,9.314593076705933,,
166,15246781066633978620,generate,succeeded,8.862796306610107,,
167,15296869966687657087,generate,succeeded,8.46205472946167,,
168,6804838712305812784,generate,succeeded,9.244762182235718,,
169,17663355059309994298,generate,succeeded,9.56207513809204,,
170,9927374105936141882,generate,succeeded,8.581520080566406,,
171,11392500228525167309,generate,succeeded,8.89535903930664,,
172,17264095740024999344,generate,succeeded,8.750308752059937,,
173,1487883791071992257,generate,succeeded,9.090161323547363,,
174,7163058880153603132,generate,succeeded,8.062188386917114,,
175,9495816860147796563,generate,succeeded,8.154557704925537,,
176,6534950304910276493,generate,succeeded,8.62532925605774,,
177,11066055892695458336,generate,succeeded,9.466914653778076,,
178,5792939501700843227,generate,succeeded,7.773290395736694,,
179,17894195744953044722,generate,succeeded,8.60340404510498,,
180,5706384876701875224,generate,succeeded,9.307239294052124,,
181,1156983363416225014,generate,succeeded,8.727067708969116,,
182,15107855359994880262,generate,succeeded,8.84414267539978,,
183,965302367787885153,generate,succeeded,8.7181715965271,,
184,3669114685383662839,generate,succeeded,8.766621828079224,,
185,575973910006944551,generate,succeeded,8.716304063796997,,
186,4686678286041042705,generate,succeeded,9.03429126739502,,
187,5109103123803636404,generate,succeeded,8.609512090682983,,
188,17656972971811011781,generate,succeeded,8.515694618225098,,
189,6359492336577465570,generate,succeeded,8.81224799156189,,
190,4382635162498154871,generate,succeeded,8.916598796844482,,
191,2361203840787845746,generate,succeeded,8.877341747283936,,
192,8986136941104029537,generate,succeeded,8.543242931365967,,
193,8510614849699529638,generate,succeeded,8.833287715911865,,
194,14723172007813426341,generate,succeeded,8.138347387313843,,
195,9743450452694463622,generate,succeeded,8.342627763748169,,
196,16183534647830570215,generate,succeeded,8.636557579040527,,
197,201932140770326197,generate,succeeded,9.85154914855957,,
198,12803418106122084957,generate,succeeded,8.272340536117554,,
