legislator_id,period,coord1D,coord2D,effective_model
74,1,0.802862398704969,-0.297241227188974,0
172,1,-0.952767771034241,-0.303699809809695,0
660,1,0.085551171489485,-0.514996253472558,0
803,1,0.766341259182368,-0.191844522981555,0
810,1,0.514340899766969,-0.228985165478728,0
811,1,-0.865163088356325,-0.027933790815975,0
815,1,-0.439832080070897,0.128416123147425,0
827,1,0.758913126584160,-0.651191881320901,0
837,1,0.767578424745238,-0.143221379335594,0
843,1,-0.636113734359777,-0.369198723186693,0
848,1,0.625333493350827,-0.780357624486139,0
850,1,-0.471019385600524,0.025101112212424,0
855,1,0.346428806254825,-0.031930953495939,0
856,1,0.645624632498737,-0.552777653494718,0
862,1,0.138535914097775,-0.010799994208320,0
865,1,-0.880067619986630,0.028146392708659,0
866,1,0.262005901920389,0.056791743672572,0
869,1,0.693220199769694,-0.396529211602885,0
872,1,0.885453617019262,-0.120971608393018,0
875,1,-0.376756334148829,0.116207018290509,0
879,1,0.217131002433482,0.150039050627522,0
885,1,0.423927479387418,0.075310394547155,0
893,1,0.104872353031836,-0.400503801554358,0
897,1,0.760586635879360,-0.486956670163049,0
898,1,0.334043781929227,-0.545738177502435,0
908,1,-0.845682329194074,0.320745518999178,0
913,1,0.415087697610351,-0.115865632078093,0
917,1,-0.634522966985772,0.024124248229321,0
920,1,0.762070855446577,-0.209658490729144,0
923,1,-0.293377338207905,0.045109125401152,0
925,1,0.273969443947761,0.064813112851954,0
926,1,-0.664440897654279,0.064332318959540,0
931,1,0.646389490494194,-0.349462196896325,0
936,1,0.763303589098270,-0.646039960737491,0
937,1,0.923168419559876,-0.384395719444585,0
940,1,-0.867206955431421,0.012731946105195,0
942,1,-0.902419256256072,0.026956284938150,0
945,1,-0.434755389561125,-0.031959095536428,0
946,1,-0.901178663986330,-0.373036484209230,0
949,1,-0.611839206850706,-0.618493358583497,0
950,1,0.596445404019644,0.161327988090964,0
952,1,-0.755846009013092,-0.466607648289734,0
953,1,-0.762987861976063,-0.453186130274230,0
956,1,0.895675403136822,-0.444708412575734,0
957,1,0.518977725111719,-0.535505552019145,0
959,1,-0.604772745211968,0.133380849704465,0
961,1,0.379803197338647,-0.257902866373219,0
963,1,0.278087407281483,-0.149396236944737,0
967,1,-0.734951854125122,-0.029653433504796,0
968,1,0.745219476755830,-0.354288689791253,0
970,1,-0.674398356107950,-0.166169122335363,0
971,1,-0.733750782455451,-0.450493115363378,0
972,1,0.788808592620094,-0.614638921814025,0
973,1,0.904157234491108,-0.427199830661708,0
974,1,0.646813822647117,-0.449698673098285,0
975,1,0.794236462564499,-0.506915203311025,0
976,1,-0.688807052516235,0.036384532978572,0
981,1,0.773418362600426,-0.542921073413189,0
982,1,0.308224766825808,-0.631918054077866,0
984,1,-0.700380856602434,-0.655301396168806,0
985,1,-0.456872166056291,-0.032615985070988,0
986,1,0.611320085513205,-0.427783963095380,0
987,1,0.739496928870757,-0.673159930505762,0
989,1,-0.484792062877808,-0.097362300505920,0
991,1,0.720686085583885,-0.693261542309810,0
993,1,0.910597856279891,-0.413293532659861,0
994,1,-0.745549218418364,-0.563941896160261,0
995,1,-0.905501425827430,-0.424343219369053,0
999,1,-0.724715302465420,-0.286805300394063,0
1000,1,0.738727524447148,-0.428830853669902,0
1001,1,0.686821287666673,-0.359235587118148,0
1002,1,0.687454517411371,-0.553247123305718,0
1003,1,-0.545975641002972,-0.096123406995651,0
1005,1,-0.695873254795231,-0.080631104599106,0
1006,1,0.907958559790202,-0.419059964329334,0
1008,1,0.952388874726542,-0.304885931615599,0
1009,1,-0.921323779837518,0.014696184312044,0
1010,1,-0.657968160310947,-0.571034095666200,0
1011,1,-0.324758140709542,0.028019588980737,0
1012,1,0.904775137984484,-0.425889598000653,0
1013,1,0.590992205980491,-0.601644630976510,0
1014,1,0.604551655075260,0.092306796150550,0
1015,1,0.808263449887318,-0.588821021683373,0
1016,1,0.043884111611130,-0.676633569667957,0
1017,1,-0.448041103094626,-0.015492084465779,0
1018,1,0.736952198391043,-0.675944862595736,0
1019,1,-0.772635297494609,-0.337344997234502,0
1020,1,0.614397683167128,-0.510352176564129,0
1021,1,-0.499593057690059,-0.433217056265430,0
1022,1,-0.654583648407119,-0.304321992949970,0
1023,1,0.740307430912372,-0.672268478909969,0
1024,1,-0.831609235781150,-0.555361214853442,0
