legislator_id,served_periods,effective_model,beta0_dim1,beta0_dim2,beta1_dim1,beta1_dim2,beta2_dim1,beta2_dim2,beta3_dim1,beta3_dim2,intercept_radius
1366,1,0,0.527348394747670,-0.655690700702636,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.841443179561673
4812,2,0,0.810235142368696,-0.313215917760034,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.868668634789746
10808,1,0,0.962222786684521,-0.272263307819976,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
14009,5,1,-0.597182113505987,-0.202799892709228,0.098288087356371,0.213966675634357,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.630677630152166
14101,1,0,0.788421543319085,-0.615135326599239,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
14203,3,0,0.576163300111765,-0.513292052840037,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.771642974376375
14213,1,0,0.770582629010271,-0.344617258895539,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.844131887361836
14226,5,1,-0.632614673626394,0.163239929584450,-0.066889176822099,-0.076230314273100,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.653336513519768
14230,3,0,0.943337822347344,-0.014356897802315,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.943447066657974
14307,5,1,0.861727923709152,-0.012108405530439,-0.126380871279511,0.071745147012149,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.861812988985763
14400,2,0,0.855590212022121,-0.317864644128234,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.912728077192121
14435,3,0,0.951411972746995,0.119079702659548,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.958835083563287
