iteration,log_likelihood,w2,beta,delta_log_likelihood
1,-162490.363768694369,2.000000000000,0.050000000000,0.000000000000
2,-52669.194904924647,1.445437993568,1.803938678662,109821.168863769723
3,-42006.390607154790,1.333088869556,2.714497522527,10662.804297769857
4,-38388.686838325790,1.291237255648,3.454066838764,3617.703768829000
5,-36800.036383819075,1.267977684051,4.084845016760,1588.650454506715
6,-35966.618848547565,1.257023446501,4.628015467273,833.417535271510
7,-35454.931795992590,1.251889692865,5.113220655709,511.687052554975
8,-35102.458647565574,1.249582143048,5.561890930594,352.473148427016
9,-34832.060579593715,1.249278198796,5.983231209238,270.398067971859
10,-34630.886643926999,1.249362096540,6.389370189490,201.173935666717
11,-34470.686748203952,1.250214222296,6.781797795147,160.199895723046
12,-34342.701969326401,1.251610741924,7.161537562363,127.984778877551
13,-34238.749555377617,1.253398301936,7.527813445904,103.952413948784
14,-34149.945818321721,1.255634269224,7.882530269213,88.803737055896
15,-34073.208231793571,1.258161467396,8.228955313378,76.737586528150
16,-34002.101518456351,1.260833214967,8.567635372523,71.106713337220
17,-33940.633810750005,1.263485291192,8.902946848242,61.467707706346
18,-33883.004122849401,1.266257850126,9.234090455445,57.629687900604
19,-33835.777698372796,1.269143286559,9.561804761904,47.226424476605
20,-33792.487904350433,1.272029472291,9.884652188302,43.289794022363
21,-33752.914246490414,1.274905212732,10.205134546716,39.573657860019
22,-33715.104934632589,1.277749532423,10.522913271416,37.809311857825
23,-33682.352095176095,1.280667031489,10.838123495099,32.752839456494
24,-33652.097324261980,1.283548363936,11.151659880436,30.254770914114
25,-33609.755111326944,1.286381380961,11.464086009631,42.342212935037
26,-33573.693256669838,1.289361121480,11.777453401523,36.061854657106
27,-33547.472971072420,1.292415979093,12.088451494796,26.220285597417
28,-33521.501599807649,1.295217681057,12.400838715008,25.971371264772
29,-33495.186620415683,1.298037756287,12.712453764655,26.314979391966
30,-33473.517280480351,1.300989995361,13.023314938549,21.669339935332
31,-33448.835107200270,1.303889454821,13.334058406473,24.682173280082
32,-33429.610613238954,1.306718143899,13.645526147360,19.224493961316
33,-33411.584659580592,1.309564532241,13.956130672369,18.025953658362
34,-33394.564456394794,1.312409546219,14.266018776178,17.020203185799
35,-33378.378644434590,1.315255254907,14.575502698372,16.185811960204
36,-33362.954808680392,1.318114310427,14.884117906983,15.423835754198
37,-33348.124815356248,1.320907100273,15.193229169993,14.829993324143
38,-33334.081519157917,1.323718862237,15.501971085597,14.043296198332
39,-33320.369269742092,1.326497065780,15.811111664267,13.712249415825
40,-33307.430404013510,1.329277503053,16.120221570306,12.938865728582
41,-33294.994211858473,1.332033754149,16.429828795078,12.436192155037
42,-33280.741240188734,1.334769036980,16.739866478251,14.252971669739
43,-33268.975455896449,1.337455530809,17.051955509946,11.765784292285
44,-33257.711288296297,1.340147888721,17.364677844238,11.264167600151
45,-33246.870137951737,1.342820335757,17.677838171051,10.841150344560
46,-33236.407270019874,1.345484661885,17.991643991511,10.462867931863
47,-33226.292691653667,1.348129167814,18.305872191769,10.114578366207
48,-33216.506025733892,1.350756864948,18.620801250037,9.786665919775
49,-33207.027504128200,1.353371311018,18.936203678732,9.478521605692
50,-33197.705984124717,1.355969479739,19.252061936876,9.321520003483
51,-33188.753869926855,1.358569512557,19.568274289795,8.952114197862
52,-33180.072717848707,1.361156094590,19.885211236533,8.681152078148
53,-33176.215202590065,1.363707000715,20.000000000000,3.857515258642
54,-33175.049188053919,1.366246660441,20.000000000000,1.166014536146
55,-33173.938041054564,1.368783867692,20.000000000000,1.111146999356
56,-33172.733351064664,1.371312437294,20.000000000000,1.204689989900
57,-33171.458447172408,1.373830495627,20.000000000000,1.274903892256
58,-33170.358223089694,1.376324131597,20.000000000000,1.100224082715
59,-33169.330345905779,1.378808463311,20.000000000000,1.027877183915
60,-33168.325078942937,1.381296459038,20.000000000000,1.005266962842
61,-33167.350170359758,1.383771178041,20.000000000000,0.974908583179
62,-33166.396767284117,1.386233445434,20.000000000000,0.953403075640
