rollcall_id,midpoint1D,midpoint2D,spread1D,spread2D
0,-0.020703273854273,0.506738648222901,-0.509050662078451,0.559009792467248
1,-0.283444926886818,0.330998950448621,-0.900502224477172,0.795269038954245
2,-0.214426591610726,0.468575939898337,-0.592593221845680,0.536609060599648
3,-0.700503068526914,0.050858039822185,-1.218175117742357,0.116406923087649
4,-0.075551771691502,-0.112831828513958,1.584303448670222,-0.604237482865507
5,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
6,-0.004485652904147,-0.002293215526659,0.813631779700973,-0.010671595564918
7,0.157542331825319,0.072040799570348,-0.934109880219398,-0.221611845615334
8,-0.097818404736392,0.015840354837451,-0.798070030397483,-0.016716391474496
9,0.091189187422149,0.056316388127217,-1.138045347471368,-0.046668142901073
10,-0.493939794491842,0.157368910187600,-0.915496860373771,0.190129693467436
11,-0.184083324170729,0.023858743960761,-0.799637651232056,-0.016971172213118
12,-0.110565756815466,0.072755874652676,-0.760892808626100,0.293956447991450
13,-0.335816271731226,0.059272354611684,-0.930997943875769,-0.004678968260900
14,-0.145969442712234,0.199613116737585,-1.852188798754272,0.448507544753974
15,-0.137324341432384,0.056157984331786,-1.072506853323087,0.498918837604505
16,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000
17,-0.445585239260419,-0.014198249982268,1.029725845447650,0.050227398072677
18,-0.220344653726623,0.102638990105871,0.896531949484289,0.113002320154441
19,-0.371128384742313,0.147953088224002,-1.311136836625906,-0.045698330586242
20,-0.228549551920746,0.296239926480566,1.002145751316609,-0.051090230053141
21,0.186574106032572,0.010445460632094,0.805300462143665,0.004025955697597
22,0.294790048531675,-0.260813801910350,1.214325528962599,-0.256218994025003
23,-0.328483175290889,0.062900690826218,0.848116719226673,-0.021185506115674
24,0.277110973211032,0.126122055389300,-1.120838316357705,-0.055104199533307
25,-0.261511879227373,0.204493929328782,0.834427211423903,0.150381428405536
26,-0.117115621513241,-0.375684816694382,1.404998130533931,-0.225388110605773
27,-0.302622504648700,0.053003002459748,0.797008987967468,-0.119800291162798
28,-0.138310350165435,-0.325509894917187,-1.315156754654256,0.460812989334223
29,-0.219227693529077,-0.676943555680998,0.135440718996496,0.264715279579266
30,-0.502876531450577,0.135068050879501,-0.989242069517819,0.001148925815702
31,-0.701428094981159,-0.064313611550130,-1.000420738681055,-0.112936367649563
32,0.103544600478512,0.401392777042494,-0.992102301912595,0.135638065464195
33,0.751030717636161,0.141736336596806,0.978049029848396,-0.442618102490941
34,-0.719872963174068,0.640820152741951,-0.343547866167722,0.199741808799103
35,0.255026749448019,-0.113849469386057,1.398764382524076,0.492477508836599
36,-0.254449781378482,0.328295437579737,0.806756927992709,-0.310820653678837
