"coord1D","coord2D","legislator_id","legislator_name","party"
0,0,10808,"",""
-0.683980822563171,-0.140166983008385,1366,"",""
0.251901775598526,-0.730869352817535,14009,"",""
0,0,14101,"",""
-0.732598602771759,-0.337883532047272,14203,"",""
-0.921442985534668,-0.367895722389221,14213,"",""
0.44368851184845,0.463813096284866,14226,"",""
-0.995954871177673,0.082456037402153,14230,"",""
-0.984941840171814,0.151004701852798,14307,"",""
-0.94404125213623,-0.329827338457108,14400,"",""
-0.980774164199829,-0.195146039128304,14435,"",""
-0.952259302139282,-0.176139205694199,14440,"",""
0.36151859164238,-0.0613260231912136,14503,"",""
0.168093100190163,-0.283336222171783,14506,"",""
-0.71969610452652,0.064661405980587,14651,"",""
-0.057034470140934,0.300678551197052,14661,"",""
-0.9744673371315,-0.179191917181015,14709,"",""
0.374266713857651,-0.154506087303162,14806,"",""
-0.76398241519928,-0.00172219320666045,14812,"",""
0.262717574834824,-0.467926323413849,14826,"",""
0.479250252246857,-0.303063958883286,14852,"",""
-0.942488729953766,-0.10682936757803,14858,"",""
-0.861372828483582,0.285268396139145,14871,"",""
-0.0623335018754005,0.0672395676374435,14910,"",""
-0.860500335693359,-0.389052838087082,14912,"",""
-0.961717903614044,-0.234054937958717,14914,"",""
-0.950889945030212,-0.30952924489975,14920,"",""
0.524803519248962,-0.225561901926994,14921,"",""
-0.892022311687469,-0.236537277698517,14922,"",""
-0.878500819206238,0.123025797307491,15011,"",""
-0.793273568153381,-0.325103104114532,15015,"",""
-0.999157130718231,0.0410505011677742,15021,"",""
0.572148978710175,0.428903192281723,15039,"",""
-0.846637487411499,-0.0593667402863503,15054,"",""
0.785297334194183,-0.0151416752487421,15406,"",""
-0.991181313991547,-0.100363023579121,15408,"",""
0.70212322473526,0.0783251076936722,15424,"",""
-0.854245126247406,-0.454623907804489,15425,"",""
0.601451754570007,0.0796051919460297,15429,"",""
0.190260425209999,-0.660847008228302,15501,"",""
-0.742190301418304,-0.13098980486393,15502,"",""
-0.769165933132172,-0.093638613820076,15703,"",""
-0.687983214855194,-0.145515277981758,15704,"",""
0.569302082061768,-0.70342230796814,20100,"",""
0.339597821235657,-0.588947176933289,20101,"",""
0.244515880942345,0.507163107395172,20115,"",""
0.551413118839264,0.344783425331116,20146,"",""
-0.685555219650269,-0.0501248426735401,20330,"",""
-0.950072407722473,0.293412983417511,20707,"",""
-0.950206279754639,0.311621516942978,20713,"",""
-0.569634914398193,-0.39897882938385,20717,"",""
0.266978412866592,0.707279682159424,20730,"",""
-0.977397382259369,-0.14230315387249,20735,"",""
0.686842143535614,0.335552245378494,20919,"",""
-0.664524734020233,0.0798486769199371,20923,"",""
-0.743535816669464,-0.245650187134743,20930,"",""
0.62507039308548,-0.0361349768936634,21112,"",""
0.773183226585388,-0.0203660000115633,21133,"",""
0.828413903713226,-0.27953514456749,21166,"",""
0.8913254737854,-0.182888314127922,21173,"",""
0.841549873352051,-0.0010483106598258,21301,"",""
-0.73796147108078,-0.0418346002697945,21325,"",""
0.785031795501709,-0.367846786975861,21338,"",""
-0.988185286521912,-0.153264090418816,29142,"",""
-0.974430024623871,0.224691107869148,29147,"",""
-0.508435666561127,-0.251734882593155,29305,"",""
