unit,name,tag,start,end,rc_raw,rc_kept,legs_kept,sources,first_vote,last_vote
1,u1_warmup1,warmup,2014-03-11,2014-06-10,91,41,120,2014_18,2014-03-13,2014-06-04
2,u2_warmup2,warmup,2014-06-11,2014-09-09,127,60,118,2014_18,2014-06-11,2014-09-04
3,u3_warmup3,warmup,2014-09-10,2014-12-09,298,172,119,2014_18,2014-09-10,2014-11-26
4,u4_warmup4,warmup,2014-12-10,2015-03-11,202,104,119,2014_18,2014-12-11,2015-03-10
5,u5_warmup5,warmup,2015-03-12,2015-06-10,131,28,113,2014_18,2015-03-12,2015-05-20
6,u6_warmup6,warmup,2015-06-11,2015-09-09,175,86,119,2014_18,2015-06-17,2015-09-09
7,u7_warmup7,warmup,2015-09-10,2015-12-09,331,168,119,2014_18,2015-09-14,2015-11-26
8,u8_warmup8,warmup,2015-12-10,2016-03-10,156,85,117,2014_18,2015-12-10,2016-03-09
9,u9_warmup9,warmup,2016-03-11,2016-06-09,268,170,119,2014_18,2016-03-17,2016-06-09
10,u10_warmup10,warmup,2016-06-10,2016-09-08,184,76,119,2014_18,2016-06-14,2016-08-31
11,u11_warmup11,warmup,2016-09-09,2016-12-08,351,176,117,2014_18,2016-09-13,2016-12-01
12,u12_warmup12,warmup,2016-12-09,2017-03-10,87,19,100,2014_18,2016-12-13,2017-01-25
13,u13_warmup13,warmup,2017-03-11,2017-06-09,135,64,115,2014_18,2017-03-14,2017-05-31
14,u14_warmup14,warmup,2017-06-10,2017-09-08,216,123,116,2014_18,2017-06-13,2017-09-06
15,u15_warmup15,warmup,2017-09-09,2017-12-08,292,152,118,2014_18,2017-09-13,2017-12-05
16,u16_warmup16,warmup,2017-12-09,2018-03-10,223,112,119,2014_18,2017-12-12,2018-03-06
17,u17_P11,P1,2018-03-11,2018-06-16,72,29,152,2018_22,2018-04-03,2018-06-13
18,u18_P12,P1,2018-06-17,2018-09-22,165,96,155,2018_22,2018-06-21,2018-09-13
19,u19_P13,P1,2018-09-23,2018-12-28,365,234,155,2018_22,2018-09-25,2018-12-19
20,u20_P14,P1,2018-12-29,2019-04-05,146,70,155,2018_22,2019-01-02,2019-04-03
21,u21_P15,P1,2019-04-06,2019-07-11,157,85,152,2018_22,2019-04-09,2019-07-10
22,u22_P16,P1,2019-07-12,2019-10-17,221,141,154,2018_22,2019-07-18,2019-10-17
23,u23_P21,P2,2019-10-18,2020-01-19,410,301,155,2018_22,2019-10-24,2020-01-16
24,u24_P22,P2,2020-01-20,2020-04-21,219,139,155,2018_22,2020-01-21,2020-04-16
25,u25_P23,P2,2020-04-22,2020-07-23,184,123,155,2018_22,2020-04-28,2020-07-23
26,u26_P24,P2,2020-07-24,2020-10-25,269,192,155,2018_22,2020-07-30,2020-10-15
27,u27_P31,P3,2020-10-26,2021-02-03,430,344,155,2018_22,2020-10-27,2021-01-29
28,u28_P32,P3,2021-02-04,2021-05-14,269,191,155,2018_22,2021-03-02,2021-05-06
29,u29_P33,P3,2021-05-15,2021-08-22,169,84,155,2018_22,2021-05-18,2021-08-18
30,u30_P34,P3,2021-08-23,2021-11-30,265,174,155,2018_22,2021-08-31,2021-11-30
31,u31_P35,P3,2021-12-01,2022-03-10,179,90,154,2018_22,2021-12-01,2022-03-07
