run,party,n,mean,sd,lo,hi,density_drawn
runA,UDI,30,0.7549,0.0764,0.5157,0.8464,True
runA,EVOP,6,0.7077,0.0617,0.6131,0.7766,True
runA,RN,34,0.7514,0.0982,0.506,0.9583,True
runA,DC,14,0.0331,0.2398,-0.5159,0.3173,True
runA,PRad,6,-0.1491,0.181,-0.3199,0.1212,True
runA,IND,14,-0.2869,0.5783,-0.9123,0.9714,True
runA,PS,18,-0.5399,0.1139,-0.7689,-0.3411,True
runA,PPD,6,-0.5663,0.1287,-0.7835,-0.4124,True
runA,RD,8,-0.6207,0.0975,-0.8301,-0.5531,True
runA,PC,8,-0.6879,0.0636,-0.7747,-0.6238,True
runA,COM,2,-0.6768,0.0219,-0.6923,-0.6614,False
runA,FRVS,1,-0.395,,-0.395,-0.395,False
runA,PEV,1,-0.6915,,-0.6915,-0.6915,False
runA,PH,3,-0.8655,0.0308,-0.8982,-0.8371,False
runA,PL,2,-0.5781,0.0723,-0.6292,-0.5269,False
runA,PRI,1,-0.6198,,-0.6198,-0.6198,False
runB,UDI,30,0.7401,0.1319,0.467,1.0523,True
runB,EVOP,6,0.6337,0.0791,0.5475,0.7615,True
runB,RN,34,0.672,0.0976,0.4881,0.9279,True
runB,DC,14,-0.0354,0.313,-0.9551,0.307,True
runB,PRad,6,-0.1856,0.2394,-0.4328,0.0962,True
runB,IND,11,-0.3569,0.4967,-0.8905,0.5361,True
runB,PS,18,-0.5687,0.0816,-0.7473,-0.4283,True
runB,PPD,7,-0.5722,0.1184,-0.7714,-0.4625,True
runB,RD,10,-0.6584,0.0691,-0.8216,-0.5808,True
runB,PC,8,-0.7824,0.0352,-0.8348,-0.748,True
runB,COM,1,-0.7974,,-0.7974,-0.7974,False
runB,CS,2,-0.7671,0.0459,-0.7995,-0.7346,False
runB,FRVS,1,-0.7286,,-0.7286,-0.7286,False
runB,PEV,1,-1.0164,,-1.0164,-1.0164,False
runB,PH,2,-0.9934,0.1107,-1.0717,-0.915,False
runB,PL,2,-0.5516,0.0645,-0.5972,-0.506,False
runB,PRI,1,-0.698,,-0.698,-0.698,False
runB,PRO,1,-0.8428,,-0.8428,-0.8428,False
runC,UDI,30,0.6612,0.1968,0.1982,1.0542,True
runC,EVOP,6,0.6041,0.1114,0.4193,0.7122,True
runC,RN,33,0.5918,0.1361,0.3875,1.0028,True
runC,DC,14,-0.0983,0.2979,-0.9633,0.2415,True
runC,PRad,6,-0.2029,0.2394,-0.4531,0.0555,True
runC,IND,11,-0.383,0.4758,-0.8393,0.529,True
runC,PS,18,-0.5941,0.0696,-0.7087,-0.4095,True
runC,PPD,7,-0.6244,0.0848,-0.7691,-0.5326,True
runC,RD,10,-0.6717,0.0257,-0.7087,-0.6288,True
runC,PC,8,-0.8104,0.0235,-0.8467,-0.7824,True
runC,COM,1,-0.7782,,-0.7782,-0.7782,False
runC,CS,1,-0.7174,,-0.7174,-0.7174,False
runC,FRVS,1,-0.6053,,-0.6053,-0.6053,False
runC,PEV,1,-0.9044,,-0.9044,-0.9044,False
runC,PH,2,-0.9002,0.0921,-0.9653,-0.8351,False
runC,PL,2,-0.5256,0.0813,-0.5831,-0.4682,False
runC,PRI,1,-0.6503,,-0.6503,-0.6503,False
runC,PRO,1,-0.852,,-0.852,-0.852,False
runC,PRep,1,0.9064,,0.9064,0.9064,False
