parameter,value
log_likelihood,-5927.804389818887
iterations,4
first_iteration,1
converged,0
final_ll_improvement,143.711048439969
convergence_absolute_tolerance,0.000000000000
convergence_relative_tolerance,0.000000000000
convergence_patience,2
valid_votes,52079
correct_classifications,49756
classification_pct,95.5395
w1,1.00000000000000000
w2,0.33691163215642694
beta,8.14130692386228105
temporal_model,0
dimensions,2
periods,1
optimizer_precision,strict
block_solver,cobyla
scalar_search,local
likelihood_evaluator,legacy-nearest
bill_start,canonical-zero
fortran_replication,1
w2_upper_bound,none
d2_identification,none
d2_scale_factor,1.00000000000000000
raw_w2_before_identification,0.33691163215642694
beta_upper_bound,none
evaluate_only,0
fix_global_params,0
fix_roll_calls,0
fix_legislators,0
adaptive_tolerances,0
threads,1
optimizer_trace_exported,0
elapsed_seconds,5.69
