legislator_id,period,coord1D,coord2D,effective_model
132,1,0.373584057121770,-0.735263485982954,0
137,1,-0.742323572154755,0.670041576488657,0
140,1,-0.686686743893482,0.726953448138670,0
150,1,-0.750018804673557,0.551944486152604,0
151,1,-0.466942148760331,0.003305785123967,0
155,1,0.473444532760584,-0.880823634105666,0
158,1,-0.863796462365797,0.503840918945985,0
159,1,0.521375498666753,0.545410706121757,0
161,1,0.161175617530808,-0.778885618003577,0
164,1,0.688722828460889,-0.491911453205612,0
165,1,0.671902303367875,0.603006409559591,0
166,1,0.259788707870020,-0.853949755503533,0
169,1,-0.851392913404164,0.121052742420050,0
170,1,-0.392561983471074,-0.010743801652893,0
172,1,0.652337664276241,-0.650640839255844,0
173,1,-0.376033057851240,-0.012396694214876,0
175,1,0.702917005925253,0.577992189402589,0
176,1,-0.671925991873436,-0.225785423681426,0
177,1,-0.796166959592623,0.267544175794597,0
178,1,-0.790003610478277,0.612487392574436,0
179,1,0.609954105989836,0.350001435026288,0
181,1,-0.483521665423157,0.740047704955546,0
185,1,-0.414318317452234,-0.498166656441017,0
187,1,0.522977405675216,0.707809687025308,0
190,1,-0.344608183148973,0.286111348078616,0
193,1,-0.862218856218630,0.018867369830582,0
195,1,-0.914034072731405,0.405637416772714,0
202,1,-0.276859504132231,-0.022314049586777,0
205,1,-0.786836854787928,0.326451351966872,0
206,1,0.976851285641119,0.213919530995401,0
208,1,0.487493129546240,0.822269467391795,0
209,1,0.703088241623480,0.224411093179685,0
211,1,-0.235537190082645,0.026446280991736,0
213,1,-0.573271891529721,-0.339664478935618,0
220,1,-0.607997944081674,0.489015076725184,0
221,1,-0.671021051618197,-0.075050912243572,0
222,1,-0.509275446379756,-0.471250052310812,0
224,1,-0.466627198357040,-0.286981107243320,0
226,1,-0.399314381439513,-0.430901798763378,0
234,1,0.450285089153506,0.761963190930887,0
239,1,-0.600380919432799,-0.152280697388540,0
242,1,0.462438764508575,-0.842476913558145,0
800,1,-0.932041465575314,0.227611361631324,0
802,1,-0.881221763078208,0.197439451726313,0
804,1,-0.762265319816312,0.504713338152908,0
805,1,0.699216372905093,0.326711106550624,0
806,1,0.210159019778610,-0.814674122472378,0
807,1,0.791424837785014,0.594032034332027,0
808,1,-0.321174026991350,-0.495631037586724,0
810,1,-0.558438584065141,-0.067437656150374,0
811,1,0.347941699429888,0.937516172552688,0
812,1,0.567598127855670,0.739615274359531,0
813,1,0.180245119136603,-0.812178711308228,0
814,1,0.353535694648430,-0.935421034940658,0
816,1,-0.454774808069932,-0.267254177316134,0
817,1,-0.731580232253602,-0.085901604982763,0
818,1,0.323622070510067,-0.505784055485576,0
819,1,-0.819876022702129,0.344068198168328,0
821,1,0.552718592664388,0.833367960341108,0
822,1,0.440959693544664,0.858923488582378,0
823,1,0.661044730370114,0.750346496260164,0
825,1,0.537880852389524,-0.843020870816802,0
826,1,-0.560944615347983,-0.827853331522017,0
828,1,0.769344754746884,0.470672155341562,0
830,1,0.526342442804064,0.588322488913184,0
832,1,-0.788721657901590,0.256256081809588,0
834,1,-0.102746649015449,0.392226370324330,0
837,1,-0.642865970036182,-0.301164252775134,0
840,1,0.721271712358354,0.553305488662101,0
842,1,0.359080096541171,-0.875055277886188,0
843,1,0.311925845976921,-0.576603723756814,0
844,1,0.613501698398600,0.739911943725635,0
848,1,-0.846900669365986,0.471309187975559,0
849,1,-0.860071574289481,0.393851542018426,0
850,1,0.658856893443989,0.551441156029141,0
854,1,-0.672847568321355,-0.002361674654079,0
855,1,-0.718874295714932,0.138322406662376,0
857,1,0.572515659185700,0.632886279212883,0
859,1,-0.721692281046401,0.033086672913001,0
862,1,-0.346656656338768,-0.005780953190273,0
863,1,0.267731206842222,-0.963493643405501,0
864,1,0.747806933952206,0.663916251897031,0
865,1,0.653102792314813,0.728725272028685,0
866,1,-0.745227783071966,0.666809981432223,0
868,1,0.156251753630054,-0.987564930931019,0
870,1,-0.703385076521868,0.126111090577533,0
871,1,0.713330345012655,0.561173729305501,0
872,1,-0.313030585321839,-0.647934907196274,0
873,1,-0.792751424015961,0.465039238229941,0
875,1,0.558695451928424,0.737772051374082,0
877,1,-0.629936056183291,0.708088469188985,0
878,1,-0.465413888243852,-0.369480967284267,0
879,1,-0.458240446311762,-0.446349617112263,0
881,1,0.078700783513107,-0.775931845537071,0
882,1,-0.768186676953698,0.071225508237129,0
884,1,0.545071999001654,0.838389238900608,0
885,1,-0.626031881720902,0.602661528282875,0
886,1,-0.842167377605393,0.539216197918103,0
887,1,0.665834932843630,0.729496974199910,0
888,1,-0.799070030689889,0.150398430145328,0
889,1,0.395974708453036,0.587887579621717,0
890,1,-0.897914530708304,0.440169848516327,0
892,1,-0.906633768593951,0.420524270498062,0
894,1,-0.498851282530024,-0.601081853660550,0
895,1,0.660585612329977,0.750750723464606,0
897,1,-0.367195642366256,-0.682029060179191,0
899,1,-0.676706612214547,0.517938373040764,0
902,1,-0.647031782437316,-0.211532300753296,0
903,1,-0.785492732552587,0.577433898689730,0
904,1,-0.694289522797043,-0.219151056668472,0
906,1,0.594501169587629,0.804094745262609,0
907,1,0.672926384785818,0.739709456921492,0
908,1,0.572115991336829,0.820172721112253,0
910,1,-0.799937381498769,0.349163179775703,0
912,1,0.565200359306855,-0.599377695405712,0
914,1,-0.339128912057353,-0.405370039421230,0
916,1,-0.743709703069108,-0.196012143494564,0
917,1,0.762600300885156,0.301469514518907,0
918,1,-0.327425455911844,0.210352765176155,0
921,1,0.044031927343158,-0.944100255849002,0
962,1,0.465969480773892,-0.884800792827012,0
