replicate,anchor_rows,determinant,rotation_degrees,alignment_rmse
1,3265.0,1.0000000000000007,2.903481886030591,0.09717131022897547
2,3265.0,1.0000000000000002,1.9164798827936997,0.1095937202538341
3,3265.0,0.9999999999999994,1.8841752250949562,0.10889143979604557
4,3265.0,1.0,2.1336392470611893,0.10405657157282427
5,3265.0,1.0000000000000009,1.8761763829221738,0.10157883820086187
6,3265.0,0.9999999999999991,1.3854341704881854,0.09930798709361084
7,3265.0,1.0,1.3544715969203327,0.10557232035632651
8,3265.0,1.0,0.9709281635145519,0.10457297953407088
9,3265.0,1.0000000000000004,2.2041689194888705,0.1067040318050135
10,3265.0,1.0,2.0460737774235556,0.10078818050996519
11,3265.0,1.0000000000000004,1.3515301332946885,0.0969554223447322
12,3265.0,0.9999999999999993,2.275430113408184,0.10935512228133461
13,3265.0,0.9999999999999998,0.9005951961503454,0.5635792689171002
14,3265.0,0.9999999999999993,1.394184660515164,0.10350734290533475
15,3265.0,0.9999999999999997,1.5314895242938629,0.10782736343108534
16,3265.0,1.0000000000000007,0.9335809596065769,0.10419768271419463
17,3265.0,1.0000000000000002,1.5122496864254245,0.1008370714684095
18,3265.0,0.9999999999999998,1.8882415134724266,0.10158336934113264
19,3265.0,0.9999999999999997,2.1877518956179025,0.1045407739733538
20,3265.0,1.0000000000000002,1.122722123359154,0.10053162236040149
21,3265.0,1.0000000000000009,1.5558757865733064,0.1027143239391556
22,3265.0,0.9999999999999998,1.896866917875685,0.09988481392924468
23,3265.0,0.9999999999999998,0.8291745382574729,0.10520295853440327
24,3265.0,0.9999999999999999,1.3174466850630784,0.10977396842618317
25,3265.0,0.9999999999999998,2.408957843663143,0.106436762161319
26,3265.0,1.0000000000000004,1.4552978768492149,0.10662037008394032
27,3265.0,0.9999999999999999,0.6510406369497798,0.09986210189614439
28,3265.0,0.9999999999999997,1.8110725810249988,0.11461677120601035
29,3265.0,0.9999999999999994,1.8861887552528251,0.11321370494541
30,3265.0,0.9999999999999997,1.566043251262699,0.09976835084443887
31,3265.0,1.0000000000000002,1.629987967276464,0.10799871773550465
32,3265.0,1.0000000000000004,2.1974098227849725,0.10399749754238535
33,3265.0,1.0000000000000004,1.9148283767283458,0.10246096182627136
