party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a,replicate
COMUNES,P1,P2,2,1,-0.8895686294502297,-0.9005555013272231,-0.01098687187699332,1
COMUNES,P1,P3,2,1,-0.8895686294502297,-0.8940365963724696,-0.00446796692223983,1
COMUNES,P2,P3,1,1,-0.9005555013272231,-0.8940365963724696,0.0065189049547534905,1
DC,P1,P2,15,14,-0.14364922224460341,-0.1545945247305059,-0.010945302485902475,1
DC,P1,P3,15,14,-0.14364922224460341,-0.0988718121330946,0.04477741011150882,1
DC,P2,P3,14,14,-0.1545945247305059,-0.0988718121330946,0.055722712597411295,1
EVOP,P1,P2,6,6,0.6821010912566042,0.6550573628110183,-0.02704372844558589,1
EVOP,P1,P3,6,6,0.6821010912566042,0.6291565384197828,-0.052944552836821424,1
EVOP,P2,P3,6,6,0.6550573628110183,0.6291565384197828,-0.025900824391235533,1
FRVS,P1,P2,1,1,-0.7103713454033341,-0.6948007583420587,0.015570587061275454,1
FRVS,P1,P3,1,1,-0.7103713454033341,-0.6740399755936922,0.03633136980964191,1
FRVS,P2,P3,1,1,-0.6948007583420587,-0.6740399755936922,0.020760782748366458,1
IND,P1,P2,13,11,-0.5855758933003136,-0.5420029417518808,0.04357295154843277,1
IND,P1,P3,13,11,-0.5855758933003136,-0.7262395962609522,-0.14066370296063868,1
IND,P2,P3,11,11,-0.5420029417518808,-0.7262395962609522,-0.18423665450907145,1
LIBERAL,P1,P2,2,2,-0.6769282484120835,-0.6355474513906159,0.041380797021467686,1
LIBERAL,P1,P3,2,2,-0.6769282484120835,-0.5803730553619922,0.0965551930500913,1
LIBERAL,P2,P3,2,2,-0.6355474513906159,-0.5803730553619922,0.05517439602862362,1
PC,P1,P2,8,8,-0.8436030161242898,-0.8550123977844781,-0.011409381660188345,1
PC,P1,P3,8,8,-0.8436030161242898,-0.8616180441447437,-0.01801502802045396,1
PC,P2,P3,8,8,-0.8550123977844781,-0.8616180441447437,-0.006605646360265616,1
PCS,P2,P3,2,1,-0.7896440387074742,-0.7576552594287007,0.03198877927877353,1
PEV,P1,P2,1,1,-0.8900357343878399,-0.9165584433729277,-0.026522708985087795,1
PEV,P1,P3,1,1,-0.8900357343878399,-0.9519220553530446,-0.061886320965204744,1
PEV,P2,P3,1,1,-0.9165584433729277,-0.9519220553530446,-0.03536361198011695,1
PH,P1,P2,3,2,-0.9089653676885564,-0.9254008629302429,-0.016435495241686526,1
PH,P1,P3,3,2,-0.9089653676885564,-0.9594306611154115,-0.05046529342685513,1
PH,P2,P3,2,2,-0.9254008629302429,-0.9594306611154115,-0.0340297981851686,1
PPD,P1,P2,6,7,-0.609820419067165,-0.6158184831165348,-0.005998064049369756,1
PPD,P1,P3,6,7,-0.609820419067165,-0.6549194776106381,-0.04509905854347307,1
PPD,P2,P3,7,7,-0.6158184831165348,-0.6549194776106381,-0.039100994494103314,1
PR,P1,P2,6,6,-0.35189967395668864,-0.28153592417189044,0.0703637497847982,1
PR,P1,P3,6,6,-0.35189967395668864,-0.1877175911254919,0.16418208283119673,1
PR,P2,P3,6,6,-0.28153592417189044,-0.1877175911254919,0.09381833304639853,1
PRI,P1,P2,1,1,-0.7250385555166198,-0.7122095298424145,0.012829025674205297,1
PRI,P1,P3,1,1,-0.7250385555166198,-0.6951041622768075,0.029934393239812285,1
PRI,P2,P3,1,1,-0.7122095298424145,-0.6951041622768075,0.017105367565606988,1
PRO,P2,P3,1,1,-0.8450800728001522,-0.8792030359622169,-0.03412296316206476,1
PS,P1,P2,18,18,-0.6488371574752405,-0.6518329701609629,-0.0029958126857223544,1
PS,P1,P3,18,18,-0.6488371574752405,-0.6661988444625175,-0.017361686987277025,1
PS,P2,P3,18,18,-0.6518329701609629,-0.6661988444625175,-0.01436587430155467,1
RD,P1,P2,8,10,-0.7382632096933633,-0.7654427488518241,-0.02717953915846072,1
RD,P1,P3,8,10,-0.7382632096933633,-0.7774441428560788,-0.039180933162715426,1
RD,P2,P3,10,10,-0.7654427488518241,-0.7774441428560788,-0.012001394004254706,1
RN,P1,P2,34,36,0.6712190514990821,0.6327789337817458,-0.03844011771733635,1
RN,P1,P3,34,33,0.6712190514990821,0.5756610924281711,-0.09555795907091102,1
RN,P2,P3,36,33,0.6327789337817458,0.5756610924281711,-0.05711784135357467,1
UDI,P1,P2,30,31,0.705841225866058,0.6804442560091045,-0.0253969698569535,1
UDI,P1,P3,30,30,0.705841225866058,0.6988194539189918,-0.007021771947066213,1
UDI,P2,P3,31,30,0.6804442560091045,0.6988194539189918,0.018375197909887286,1
COMUNES,P1,P2,2,1,-0.8767764253949637,-0.8830991512523904,-0.006322725857426659,2
COMUNES,P1,P3,2,1,-0.8767764253949637,-0.8640852810974127,0.012691144297551027,2
COMUNES,P2,P3,1,1,-0.8830991512523904,-0.8640852810974127,0.019013870154977686,2
DC,P1,P2,15,14,-0.18098092222845036,-0.1622707164630653,0.01871020576538507,2
DC,P1,P3,15,14,-0.18098092222845036,-0.1374719890078747,0.04350893322057567,2
DC,P2,P3,14,14,-0.1622707164630653,-0.1374719890078747,0.0247987274551906,2
EVOP,P1,P2,6,6,0.6772190457447618,0.6251570174919804,-0.05206202825278139,2
EVOP,P1,P3,6,6,0.6772190457447618,0.5902887930923277,-0.08693025265243404,2
EVOP,P2,P3,6,6,0.6251570174919804,0.5902887930923277,-0.03486822439965265,2
FRVS,P1,P2,1,1,-0.7255623052611374,-0.6776377018320286,0.04792460342910876,2
FRVS,P1,P3,1,1,-0.7255623052611374,-0.6137382305932171,0.11182407466792033,2
FRVS,P2,P3,1,1,-0.6776377018320286,-0.6137382305932171,0.06389947123881157,2
IND,P1,P2,13,11,-0.5960283970323221,-0.5591798635187887,0.036848533513533455,2
IND,P1,P3,13,11,-0.5960283970323221,-0.7218869609334566,-0.12585856390113448,2
IND,P2,P3,11,11,-0.5591798635187887,-0.7218869609334566,-0.16270709741466793,2
LIBERAL,P1,P2,2,2,-0.6917117923416534,-0.6378811053922153,0.053830686949438045,2
LIBERAL,P1,P3,2,2,-0.6917117923416534,-0.5661068561262981,0.1256049362153553,2
LIBERAL,P2,P3,2,2,-0.6378811053922153,-0.5661068561262981,0.07177424926591724,2
PC,P1,P2,8,8,-0.8518509171240588,-0.8664586820786502,-0.014607764954591373,2
PC,P1,P3,8,8,-0.8518509171240588,-0.8763221943797112,-0.024471277255652346,2
PC,P2,P3,8,8,-0.8664586820786502,-0.8763221943797112,-0.009863512301060973,2
PCS,P2,P3,2,1,-0.8248658863312344,-0.8448776995274876,-0.020011813196253225,2
PEV,P1,P2,1,1,-0.9375343999722605,-0.9269408620735955,0.010593537898665017,2
PEV,P1,P3,1,1,-0.9375343999722605,-0.912816144875376,0.024718255096884523,2
PEV,P2,P3,1,1,-0.9269408620735955,-0.912816144875376,0.014124717198219505,2
PH,P1,P2,3,2,-0.9045004763317979,-0.9030706823299901,0.0014297940018077604,2
PH,P1,P3,3,2,-0.9045004763317979,-0.928513636183121,-0.02401315985132313,2
PH,P2,P3,2,2,-0.9030706823299901,-0.928513636183121,-0.02544295385313089,2
PPD,P1,P2,6,7,-0.627536631606036,-0.5935432230847837,0.03399340852125232,2
PPD,P1,P3,6,7,-0.627536631606036,-0.6788086790759651,-0.05127204746992908,2
PPD,P2,P3,7,7,-0.5935432230847837,-0.6788086790759651,-0.0852654559911814,2
PR,P1,P2,6,6,-0.3704782642733429,-0.3087416261334758,0.06173663813986713,2
PR,P1,P3,6,6,-0.3704782642733429,-0.22258822998221167,0.14789003429113123,2
PR,P2,P3,6,6,-0.3087416261334758,-0.22258822998221167,0.0861533961512641,2
PRI,P1,P2,1,1,-0.7383113376124296,-0.732179423577387,0.0061319140350426515,2
PRI,P1,P3,1,1,-0.7383113376124296,-0.7240035381973281,0.014307799415101519,2
PRI,P2,P3,1,1,-0.732179423577387,-0.7240035381973281,0.008175885380058867,2
PRO,P2,P3,1,1,-0.8413356433680542,-0.867620142148382,-0.026284498780327792,2
PS,P1,P2,18,18,-0.6586137256574345,-0.6556511337189321,0.002962591938502346,2
PS,P1,P3,18,18,-0.6586137256574345,-0.64573675178706,0.012876973870374453,2
PS,P2,P3,18,18,-0.6556511337189321,-0.64573675178706,0.009914381931872107,2
RD,P1,P2,8,10,-0.7602910974311798,-0.7704658217617402,-0.010174724330560325,2
RD,P1,P3,8,10,-0.7602910974311798,-0.7914912697519971,-0.031200172320817288,2
RD,P2,P3,10,10,-0.7704658217617402,-0.7914912697519971,-0.021025447990256962,2
RN,P1,P2,34,36,0.6719320872853849,0.6283029447177106,-0.04362914256767425,2
RN,P1,P3,34,33,0.6719320872853849,0.5779602903779569,-0.09397179690742796,2
RN,P2,P3,36,33,0.6283029447177106,0.5779602903779569,-0.05034265433975371,2
UDI,P1,P2,30,31,0.7096687589961959,0.6781742256856721,-0.031494533310523765,2
UDI,P1,P3,30,30,0.7096687589961959,0.6722279598468424,-0.0374407991493535,2
UDI,P2,P3,31,30,0.6781742256856721,0.6722279598468424,-0.005946265838829734,2
COMUNES,P1,P2,2,1,-0.9348471809002703,-0.903902666480092,0.030944514420178315,3
COMUNES,P1,P3,2,1,-0.9348471809002703,-0.8776744032591366,0.05717277764113371,3
COMUNES,P2,P3,1,1,-0.903902666480092,-0.8776744032591366,0.026228263220955395,3
DC,P1,P2,15,14,-0.17692464420684892,-0.1607467617189504,0.01617788248789853,3
DC,P1,P3,15,14,-0.17692464420684892,-0.1177287775720037,0.05919586663484522,3
DC,P2,P3,14,14,-0.1607467617189504,-0.1177287775720037,0.043017984146946686,3
EVOP,P1,P2,6,6,0.6868337293533341,0.6673233609179967,-0.019510368435337377,3
EVOP,P1,P3,6,6,0.6868337293533341,0.6432411094232631,-0.04359261993007102,3
EVOP,P2,P3,6,6,0.6673233609179967,0.6432411094232631,-0.024082251494733642,3
FRVS,P1,P2,1,1,-0.723471999719063,-0.6829722661375184,0.04049973358154457,3
FRVS,P1,P3,1,1,-0.723471999719063,-0.628972621362125,0.094499378356938,3
FRVS,P2,P3,1,1,-0.6829722661375184,-0.628972621362125,0.05399964477539343,3
IND,P1,P2,13,11,-0.5892094313453526,-0.5515490632196198,0.03766036812573281,3
IND,P1,P3,13,11,-0.5892094313453526,-0.7005919792407035,-0.11138254789535085,3
IND,P2,P3,11,11,-0.5515490632196198,-0.7005919792407035,-0.14904291602108366,3
LIBERAL,P1,P2,2,2,-0.7082294397207844,-0.6600445454899261,0.048184894230858366,3
LIBERAL,P1,P3,2,2,-0.7082294397207844,-0.5957980198487811,0.11243141987200334,3
LIBERAL,P2,P3,2,2,-0.6600445454899261,-0.5957980198487811,0.06424652564114497,3
PC,P1,P2,8,8,-0.855959643227796,-0.8684310366857659,-0.012471393457969882,3
PC,P1,P3,8,8,-0.855959643227796,-0.8704569539595146,-0.01449731073171856,3
PC,P2,P3,8,8,-0.8684310366857659,-0.8704569539595146,-0.0020259172737486786,3
PCS,P2,P3,2,1,-0.8410778251885489,-0.7998922226855769,0.041185602502971985,3
PEV,P1,P2,1,1,-0.935955818520549,-0.9218469467489723,0.014108871771576714,3
PEV,P1,P3,1,1,-0.935955818520549,-0.9030351177202022,0.032920700800346814,3
PEV,P2,P3,1,1,-0.9218469467489723,-0.9030351177202022,0.0188118290287701,3
PH,P1,P2,3,2,-0.9426085660996195,-0.9174152847707114,0.02519328132890808,3
PH,P1,P3,3,2,-0.9426085660996195,-0.8997648814208374,0.04284368467878208,3
PH,P2,P3,2,2,-0.9174152847707114,-0.8997648814208374,0.017650403349874,3
PPD,P1,P2,6,7,-0.6170176720993066,-0.6219987909777599,-0.004981118878453317,3
PPD,P1,P3,6,7,-0.6170176720993066,-0.6532391691261159,-0.036221497026809324,3
PPD,P2,P3,7,7,-0.6219987909777599,-0.6532391691261159,-0.031240378148356007,3
PR,P1,P2,6,6,-0.3628843065067006,-0.2945423261231692,0.0683419803835314,3
PR,P1,P3,6,6,-0.3628843065067006,-0.20402167343651345,0.15886263307018716,3
PR,P2,P3,6,6,-0.2945423261231692,-0.20402167343651345,0.09052065268665577,3
PRI,P1,P2,1,1,-0.7276890565457277,-0.7124176252855532,0.015271431260174495,3
PRI,P1,P3,1,1,-0.7276890565457277,-0.6920557169386534,0.035633339607074266,3
PRI,P2,P3,1,1,-0.7124176252855532,-0.6920557169386534,0.02036190834689977,3
PRO,P2,P3,1,1,-0.8568278039270194,-0.8807208807133117,-0.023893076786292267,3
PS,P1,P2,18,18,-0.64438066193628,-0.650502875943151,-0.006122214006871074,3
PS,P1,P3,18,18,-0.64438066193628,-0.6355792123894057,0.00880144954687423,3
PS,P2,P3,18,18,-0.650502875943151,-0.6355792123894057,0.014923663553745303,3
RD,P1,P2,8,10,-0.7804698667417787,-0.7742259727291911,0.006243894012587514,3
RD,P1,P3,8,10,-0.7804698667417787,-0.7622647978896152,0.018205068852163442,3
RD,P2,P3,10,10,-0.7742259727291911,-0.7622647978896152,0.011961174839575928,3
RN,P1,P2,34,36,0.6726588502468269,0.6494346519568668,-0.02322419828996014,3
RN,P1,P3,34,33,0.6726588502468269,0.6060837814799837,-0.06657506876684327,3
RN,P2,P3,36,33,0.6494346519568668,0.6060837814799837,-0.04335087047688313,3
UDI,P1,P2,30,31,0.7466771364217395,0.7238699650660659,-0.02280717135567356,3
UDI,P1,P3,30,30,0.7466771364217395,0.6860493899462281,-0.06062774647551139,3
UDI,P2,P3,31,30,0.7238699650660659,0.6860493899462281,-0.03782057511983783,3
COMUNES,P1,P2,2,1,-0.9019522801554508,-0.8988597240573006,0.0030925560981501787,4
COMUNES,P1,P3,2,1,-0.9019522801554508,-0.8692723280381793,0.03267995211727148,4
COMUNES,P2,P3,1,1,-0.8988597240573006,-0.8692723280381793,0.029587396019121304,4
DC,P1,P2,15,14,-0.17245158870781835,-0.1509657774548847,0.02148581125293364,4
DC,P1,P3,15,14,-0.17245158870781835,-0.12544324638121818,0.04700834232660017,4
DC,P2,P3,14,14,-0.1509657774548847,-0.12544324638121818,0.025522531073666532,4
EVOP,P1,P2,6,6,0.6927213924911297,0.664321201510166,-0.02840019098096369,4
EVOP,P1,P3,6,6,0.6927213924911297,0.6370081805468439,-0.0557132119442858,4
EVOP,P2,P3,6,6,0.664321201510166,0.6370081805468439,-0.02731302096332211,4
FRVS,P1,P2,1,1,-0.7113319325443588,-0.6889782586399191,0.022353673904439653,4
FRVS,P1,P3,1,1,-0.7113319325443588,-0.6591733601006665,0.052158572443692264,4
FRVS,P2,P3,1,1,-0.6889782586399191,-0.6591733601006665,0.02980489853925261,4
IND,P1,P2,13,11,-0.5808434051834271,-0.5663889304479451,0.014454474735482004,4
IND,P1,P3,13,11,-0.5808434051834271,-0.7553335401927921,-0.17449013500936494,4
IND,P2,P3,11,11,-0.5663889304479451,-0.7553335401927921,-0.18894460974484695,4
LIBERAL,P1,P2,2,2,-0.7028708982224031,-0.667992214080235,0.034878684142168104,4
LIBERAL,P1,P3,2,2,-0.7028708982224031,-0.6214873018906779,0.0813835963317252,4
LIBERAL,P2,P3,2,2,-0.667992214080235,-0.6214873018906779,0.0465049121895571,4
PC,P1,P2,8,8,-0.859369867382509,-0.8798182120646637,-0.02044834468215473,4
PC,P1,P3,8,8,-0.859369867382509,-0.8805513397347597,-0.021181472352250763,4
PC,P2,P3,8,8,-0.8798182120646637,-0.8805513397347597,-0.0007331276700960343,4
PCS,P2,P3,2,1,-0.8285288895831925,-0.8348553799830718,-0.006326490399879314,4
PEV,P1,P2,1,1,-0.917530914661901,-0.9456182608898019,-0.02808734622790099,4
PEV,P1,P3,1,1,-0.917530914661901,-0.9830680558603354,-0.06553714119843446,4
PEV,P2,P3,1,1,-0.9456182608898019,-0.9830680558603354,-0.03744979497053347,4
PH,P1,P2,3,2,-0.9584302580439876,-0.9559882479096058,0.0024420101343818335,4
PH,P1,P3,3,2,-0.9584302580439876,-0.9690928231001381,-0.010662565056150486,4
PH,P2,P3,2,2,-0.9559882479096058,-0.9690928231001381,-0.01310457519053232,4
PPD,P1,P2,6,7,-0.6127799156946009,-0.6078618499180574,0.004918065776543523,4
PPD,P1,P3,6,7,-0.6127799156946009,-0.6827713200377177,-0.06999140434311679,4
PPD,P2,P3,7,7,-0.6078618499180574,-0.6827713200377177,-0.07490947011966032,4
PR,P1,P2,6,6,-0.36426953779332294,-0.30799159803700615,0.056277939756316786,4
PR,P1,P3,6,6,-0.36426953779332294,-0.22293825211101437,0.14133128568230857,4
PR,P2,P3,6,6,-0.30799159803700615,-0.22293825211101437,0.08505334592599179,4
PRI,P1,P2,1,1,-0.7489163633373637,-0.7372472809042283,0.011669082433135358,4
PRI,P1,P3,1,1,-0.7489163633373637,-0.7216885043267142,0.027227859010649502,4
PRI,P2,P3,1,1,-0.7372472809042283,-0.7216885043267142,0.015558776577514144,4
PRO,P2,P3,1,1,-0.8888868030422811,-0.9332531762861482,-0.04436637324386716,4
PS,P1,P2,18,18,-0.6640230197797863,-0.666935310596239,-0.002912290816452723,4
PS,P1,P3,18,18,-0.6640230197797863,-0.6674404811655459,-0.0034174613857596015,4
PS,P2,P3,18,18,-0.666935310596239,-0.6674404811655459,-0.0005051705693068786,4
RD,P1,P2,8,10,-0.7506581948150917,-0.7890705090646866,-0.0384123142495949,4
RD,P1,P3,8,10,-0.7506581948150917,-0.8025752382969049,-0.05191704348181325,4
RD,P2,P3,10,10,-0.7890705090646866,-0.8025752382969049,-0.013504729232218349,4
RN,P1,P2,34,36,0.6950187689814051,0.6498096759550347,-0.04520909302637044,4
RN,P1,P3,34,33,0.6950187689814051,0.6017629368571552,-0.09325583212424993,4
RN,P2,P3,36,33,0.6498096759550347,0.6017629368571552,-0.04804673909787949,4
UDI,P1,P2,30,31,0.7029154030374547,0.6963771293843098,-0.006538273653144855,4
UDI,P1,P3,30,30,0.7029154030374547,0.7127507981619015,0.009835395124446755,4
UDI,P2,P3,31,30,0.6963771293843098,0.7127507981619015,0.01637366877759161,4
COMUNES,P1,P2,2,1,-0.9023873832542529,-0.9146234906566153,-0.012236107402362362,5
COMUNES,P1,P3,2,1,-0.9023873832542529,-0.8752739904665032,0.027113392787749713,5
COMUNES,P2,P3,1,1,-0.9146234906566153,-0.8752739904665032,0.039349500190112074,5
DC,P1,P2,15,14,-0.18972418767476737,-0.1757245630716014,0.013999624603165978,5
DC,P1,P3,15,14,-0.18972418767476737,-0.14354855567170194,0.04617563200306543,5
DC,P2,P3,14,14,-0.1757245630716014,-0.14354855567170194,0.03217600739989945,5
EVOP,P1,P2,6,6,0.6860125832223107,0.640328070701774,-0.045684512520536735,5
EVOP,P1,P3,6,6,0.6860125832223107,0.5670067488261392,-0.11900583439617152,5
EVOP,P2,P3,6,6,0.640328070701774,0.5670067488261392,-0.07332132187563478,5
FRVS,P1,P2,1,1,-0.6940797214361967,-0.6665681952612786,0.027511526174918033,5
FRVS,P1,P3,1,1,-0.6940797214361967,-0.629886160361386,0.06419356107481067,5
FRVS,P2,P3,1,1,-0.6665681952612786,-0.629886160361386,0.036682034899892635,5
IND,P1,P2,13,11,-0.5943128528578182,-0.572017525997724,0.022295326860094167,5
IND,P1,P3,13,11,-0.5943128528578182,-0.7591643896951494,-0.16485153683733123,5
IND,P2,P3,11,11,-0.572017525997724,-0.7591643896951494,-0.1871468636974254,5
LIBERAL,P1,P2,2,2,-0.6834007576635096,-0.6377426987755888,0.04565805888792085,5
LIBERAL,P1,P3,2,2,-0.6834007576635096,-0.5768652869250284,0.10653547073848124,5
LIBERAL,P2,P3,2,2,-0.6377426987755888,-0.5768652869250284,0.06087741185056039,5
PC,P1,P2,8,8,-0.8415296506929107,-0.8438990420296473,-0.002369391336736526,5
PC,P1,P3,8,8,-0.8415296506929107,-0.8540724456050959,-0.012542794912185129,5
PC,P2,P3,8,8,-0.8438990420296473,-0.8540724456050959,-0.010173403575448603,5
PCS,P2,P3,2,1,-0.8060701529733452,-0.7730415382199253,0.033028614753419894,5
PEV,P1,P2,1,1,-0.9031827699126991,-0.9199141740120287,-0.016731404099329605,5
PEV,P1,P3,1,1,-0.9031827699126991,-0.9422227128111339,-0.03903994289843482,5
PEV,P2,P3,1,1,-0.9199141740120287,-0.9422227128111339,-0.022308538799105215,5
PH,P1,P2,3,2,-0.9176230419402421,-0.9285145052601775,-0.010891463319935402,5
PH,P1,P3,3,2,-0.9176230419402421,-0.9465355591185278,-0.02891251717828569,5
PH,P2,P3,2,2,-0.9285145052601775,-0.9465355591185278,-0.01802105385835029,5
PPD,P1,P2,6,7,-0.6071420973358073,-0.6000573030711417,0.007084794264665573,5
PPD,P1,P3,6,7,-0.6071420973358073,-0.6762380434134548,-0.06909594607764757,5
PPD,P2,P3,7,7,-0.6000573030711417,-0.6762380434134548,-0.07618074034231315,5
PR,P1,P2,6,6,-0.3574126560586745,-0.2998147513425752,0.057597904716099324,5
PR,P1,P3,6,6,-0.3574126560586745,-0.21902611791352286,0.13838653814515164,5
PR,P2,P3,6,6,-0.2998147513425752,-0.21902611791352286,0.08078863342905232,5
PRI,P1,P2,1,1,-0.7186196324620127,-0.7073889302264371,0.01123070223557554,5
PRI,P1,P3,1,1,-0.7186196324620127,-0.6924146605790034,0.026204971883009298,5
PRI,P2,P3,1,1,-0.7073889302264371,-0.6924146605790034,0.014974269647433758,5
PRO,P2,P3,1,1,-0.8758497507914667,-0.9191382206236497,-0.04328846983218304,5
PS,P1,P2,18,18,-0.6309635436109645,-0.6296531530794169,0.0013103905315475783,5
PS,P1,P3,18,18,-0.6309635436109645,-0.6265730322370213,0.004390511373943196,5
PS,P2,P3,18,18,-0.6296531530794169,-0.6265730322370213,0.0030801208423956172,5
RD,P1,P2,8,10,-0.7690858071968811,-0.7591952528580315,0.009890554338849666,5
RD,P1,P3,8,10,-0.7690858071968811,-0.768333885008385,0.0007519221884961791,5
RD,P2,P3,10,10,-0.7591952528580315,-0.768333885008385,-0.009138632150353487,5
RN,P1,P2,34,36,0.674466891324796,0.6196460773181063,-0.0548208140066897,5
RN,P1,P3,34,33,0.674466891324796,0.5511101717938334,-0.12335671953096261,5
RN,P2,P3,36,33,0.6196460773181063,0.5511101717938334,-0.06853590552427291,5
UDI,P1,P2,30,31,0.6976982939202898,0.6605926134352937,-0.03710568048499607,5
UDI,P1,P3,30,30,0.6976982939202898,0.6536564930311639,-0.044041800889125904,5
UDI,P2,P3,31,30,0.6605926134352937,0.6536564930311639,-0.006936120404129831,5
COMUNES,P1,P2,2,1,-0.9086764892386809,-0.9467655255067318,-0.038089036268050824,6
COMUNES,P1,P3,2,1,-0.9086764892386809,-0.9355066894397889,-0.026830200201107934,6
COMUNES,P2,P3,1,1,-0.9467655255067318,-0.9355066894397889,0.01125883606694289,6
DC,P1,P2,15,14,-0.19336709551809184,-0.17832691257139288,0.015040182946698955,6
DC,P1,P3,15,14,-0.19336709551809184,-0.14814262548786838,0.04522447003022345,6
DC,P2,P3,14,14,-0.17832691257139288,-0.14814262548786838,0.030184287083524497,6
EVOP,P1,P2,6,6,0.6606997009173349,0.6547315329232956,-0.0059681679940393195,6
EVOP,P1,P3,6,6,0.6606997009173349,0.639633587825795,-0.02106611309153983,6
EVOP,P2,P3,6,6,0.6547315329232956,0.639633587825795,-0.01509794509750051,6
FRVS,P1,P2,1,1,-0.746493066521842,-0.6842747296609591,0.06221833686088285,6
FRVS,P1,P3,1,1,-0.746493066521842,-0.6013169471797815,0.14517611934206054,6
FRVS,P2,P3,1,1,-0.6842747296609591,-0.6013169471797815,0.08295778248117769,6
IND,P1,P2,13,11,-0.6049036458481087,-0.5650824051901658,0.0398212406579429,6
IND,P1,P3,13,11,-0.6049036458481087,-0.7138977130072065,-0.10899406715909776,6
IND,P2,P3,11,11,-0.5650824051901658,-0.7138977130072065,-0.14881530781704067,6
LIBERAL,P1,P2,2,2,-0.703457892578587,-0.6502012714418623,0.05325662113672469,6
LIBERAL,P1,P3,2,2,-0.703457892578587,-0.579192443259563,0.12426544931902406,6
LIBERAL,P2,P3,2,2,-0.6502012714418623,-0.579192443259563,0.07100882818229937,6
PC,P1,P2,8,8,-0.8384338246014851,-0.8513883223414048,-0.012954497739919746,6
PC,P1,P3,8,8,-0.8384338246014851,-0.856997939402912,-0.018564114801426945,6
PC,P2,P3,8,8,-0.8513883223414048,-0.856997939402912,-0.005609617061507199,6
PCS,P2,P3,2,1,-0.8277234666456337,-0.7482221664599653,0.07950130018566837,6
PEV,P1,P2,1,1,-0.9336762350528708,-0.9372002348149588,-0.003523999762088059,6
PEV,P1,P3,1,1,-0.9336762350528708,-0.9418989011644084,-0.008222666111537658,6
PEV,P2,P3,1,1,-0.9372002348149588,-0.9418989011644084,-0.004698666349449598,6
PH,P1,P2,3,2,-0.9307510126457899,-0.9314835512507924,-0.0007325386050025529,6
PH,P1,P3,3,2,-0.9307510126457899,-0.9388350765058571,-0.008084063860067214,6
PH,P2,P3,2,2,-0.9314835512507924,-0.9388350765058571,-0.0073515252550646615,6
PPD,P1,P2,6,7,-0.6135265536454734,-0.6035662248963599,0.009960328749113456,6
PPD,P1,P3,6,7,-0.6135265536454734,-0.7092013442148694,-0.09567479056939598,6
PPD,P2,P3,7,7,-0.6035662248963599,-0.7092013442148694,-0.10563511931850944,6
PR,P1,P2,6,6,-0.37259921212275077,-0.3119257980673471,0.06067341405540366,6
PR,P1,P3,6,6,-0.37259921212275077,-0.22976545295415965,0.14283375916859112,6
PR,P2,P3,6,6,-0.3119257980673471,-0.22976545295415965,0.08216034511318746,6
PRI,P1,P2,1,1,-0.7342213889203796,-0.7217941212032148,0.012427267717164736,6
PRI,P1,P3,1,1,-0.7342213889203796,-0.7052244309136609,0.028996958006718643,6
PRI,P2,P3,1,1,-0.7217941212032148,-0.7052244309136609,0.016569690289553907,6
PRO,P2,P3,1,1,-0.8799533444757003,-0.9580450940989698,-0.07809174962326948,6
PS,P1,P2,18,18,-0.6549689347307179,-0.6502546688965388,0.00471426583417911,6
PS,P1,P3,18,18,-0.6549689347307179,-0.6488253979788194,0.006143536751898493,6
PS,P2,P3,18,18,-0.6502546688965388,-0.6488253979788194,0.001429270917719383,6
RD,P1,P2,8,10,-0.7693151002620968,-0.7638324501072471,0.005482650154849722,6
RD,P1,P3,8,10,-0.7693151002620968,-0.7613362091067835,0.007978891155313361,6
RD,P2,P3,10,10,-0.7638324501072471,-0.7613362091067835,0.0024962410004636393,6
RN,P1,P2,34,36,0.6694995693176979,0.6501107425657651,-0.019388826751932875,6
RN,P1,P3,34,33,0.6694995693176979,0.5959894993820435,-0.07351006993565445,6
RN,P2,P3,36,33,0.6501107425657651,0.5959894993820435,-0.05412124318372158,6
UDI,P1,P2,30,31,0.7305847484612401,0.7170989277698147,-0.013485820691425454,6
UDI,P1,P3,30,30,0.7305847484612401,0.717716039664489,-0.01286870879675106,6
UDI,P2,P3,31,30,0.7170989277698147,0.717716039664489,0.0006171118946743936,6
COMUNES,P1,P2,2,1,-0.8954179194777154,-0.881358001229656,0.014059918248059411,7
COMUNES,P1,P3,2,1,-0.8954179194777154,-0.8305896015586458,0.06482831791906962,7
COMUNES,P2,P3,1,1,-0.881358001229656,-0.8305896015586458,0.05076839967101021,7
DC,P1,P2,15,14,-0.1665040266229722,-0.1861064981565866,-0.019602471533614385,7
DC,P1,P3,15,14,-0.1665040266229722,-0.14612483182194053,0.020379194801031675,7
DC,P2,P3,14,14,-0.1861064981565866,-0.14612483182194053,0.03998166633464606,7
EVOP,P1,P2,6,6,0.6631613315111478,0.6615311538978377,-0.0016301776133100798,7
EVOP,P1,P3,6,6,0.6631613315111478,0.6504025117888594,-0.012758819722288317,7
EVOP,P2,P3,6,6,0.6615311538978377,0.6504025117888594,-0.011128642108978237,7
FRVS,P1,P2,1,1,-0.7571961697414946,-0.7094869292350054,0.04770924050648917,7
