coord1D,coord2D,legislator_id
-0.9216977479429668,-0.1539887658436379,74
0.7960913227405055,0.6192547466754562,172
-0.3682867498997805,-0.0859572963167445,660
-0.0902257140191643,1.1389997613160163,803
-0.4271677942132957,0.1666538726740865,810
0.5209968548104129,0.0609697021048842,811
0.3036354451428574,-0.3947875372370344,815
-0.7889136555737167,0.5568907441214335,827
-0.8767803048994817,-0.1507993913593485,837
0.6284872828487224,0.6276958325952886,843
-0.7788787175995363,0.5800146540884057,848
0.3073743176504124,-0.1856837412000745,850
-0.4736598654221856,0.1818241622819566,855
-0.6028712231129272,0.2226797904180398,856
-0.3858482097640727,-0.1621354768610581,862
0.5034097408010887,-0.0172165034013815,865
-0.0181452515821533,0.3353325329722845,866
-0.918375416456547,-0.082532371510916,869
-0.3156211671146296,0.7637727977834217,872
0.1432754363412419,-0.365436359188156,875
-0.2671115442734105,-0.1212266070011197,879
-0.0755468689303767,0.417965153040487,885
-0.1686558091719132,0.0136196322239642,893
-0.7471591138029182,0.7704315800928454,897
-0.4241283920348989,0.1656029452023591,898
0.4859946999330573,0.215288131026576,908
-0.3554657166405411,0.0546569035654107,913
0.4408432977497237,-0.0406513124576089,917
-0.907395768977361,-0.2172948932122915,920
0.260769854996155,-0.1781288579469256,923
-0.3280087319387172,0.044050254566722,925
0.5202317188262419,0.213339049090779,926
-1.0069037385754207,-0.0661513038577871,931
-0.8399053545820909,0.786867227090402,936
-0.9659742909085928,0.2058486623222973,937
0.5442828939733092,-0.0747386193125408,940
0.6066994333500808,-0.1271021351174575,942
0.2714155285894678,-0.2174221842194597,945
0.792377304735645,0.4630875191935694,946
0.7683831036327043,0.7477059422998733,949
-0.5092832189362415,0.987779951049004,950
0.6863448094817228,0.6519416365507947,952
0.8068266571231987,0.4694695180091892,953
-0.9419230844588116,0.214108953294206,956
-0.6075564281211362,0.4976125719883407,957
0.4454380512546295,-0.1632992736469626,959
0.0095003204846835,0.9638449594592298,961
-0.3348455161611363,0.0273174305716662,963
0.5281722146013614,-0.03155866331985,967
-0.8377098743693706,-0.1293683860135394,968
0.4382365147131104,0.2628984939605653,970
0.6852979928461441,0.2582816604042143,971
-0.8426800153055276,1.233426523868413,972
-0.9418474270363456,0.2333614331518483,973
-0.8234888501111776,0.1044123696515196,974
-0.9402098375647095,0.1035666957202778,975
0.4470260226835807,-0.2036107048550489,976
-0.7858128739064411,0.3917406501589328,981
-0.3618513874284982,-0.0811711798700619,982
0.6761965926926418,0.642088742485497,984
0.517448948215607,-0.0423173080160962,985
-0.583871867513515,0.3090391325260269,986
-0.5442999553254464,1.4094017150561715,987
0.4001540507146831,-0.0583150147521848,989
-0.558132930990552,1.2199825509707518,991
-0.9426119377990936,0.2412851036526439,993
0.7409986891635557,0.5408173900707216,994
0.7456616908198646,0.5414785567751593,995
0.7400456772806526,0.608215055195676,999
-0.8865719403456842,0.4660438780816981,1000
-0.8740102160535862,0.3458253231999947,1001
-0.8265602307742519,-0.0419138874628745,1002
0.3988379647818609,-0.0938862478111611,1003
0.448961580519102,0.0299952336037977,1005
-0.8959345322516056,0.3613493627420279,1006
-0.7774589987066052,1.2846196024994214,1008
0.5889671230381184,0.1659182052951777,1009
0.7646519122501008,0.4636231102197852,1010
0.5166838284204986,0.0043100786652155,1011
-0.9318873379694108,0.204898887080398,1012
-0.5549725436518689,1.2622533576482096,1013
-0.5834919903957263,-0.2686172082186762,1014
-0.5821437940919282,1.3943097579838493,1015
-0.3069893652702234,-0.0415809412706084,1016
0.4684290254107648,0.1264434240099428,1017
-0.582913859450653,1.3858492399265367,1018
0.6451945982249855,0.393496425286873,1019
-0.696521138749365,0.0711991828373128,1020
0.6476864355564109,0.4908844157573931,1021
0.6661951193723088,0.2805406524498481,1022
-0.577864278632837,1.3805410592359575,1023
0.7895091933081937,0.5826125310572767,1024
0.74359307322632,0.3955357363961567,1025
0.6012244886845474,0.2772751375879464,1026
0.5729104623719816,0.424681396194131,1027
0.7952167739943351,0.3210967556274439,1028
0.6658222923967384,0.345180867418976,1029
0.790514005565542,0.4858156486063616,1030
0.4514523993986233,-0.1190536801711367,1031
0.6203890716606486,0.3106247704346363,1032
-0.568002385933757,1.4001674170763716,1033
-0.986106732649637,0.8453422160252597,1034
-1.0041965033353453,0.1324288251512415,1035
-0.958128419624581,1.117152192375498,1036
-0.7851811650654512,1.2790036613961118,1037
-0.7614821534037266,0.3167734166630246,1038
-0.6118783403789243,1.3811955052459792,1039
0.6998548962767157,0.637642288029938,1040
0.6535033485653854,0.6444623872025699,1041
0.7426554293723389,0.574542089543087,1042
-0.9580472463236792,0.4468434885120168,1043
-0.7541367729355246,0.4099307729607636,1044
0.8044615896727638,0.5419058875788546,1045
