"legislator_id","period","coord1D","coord2D"
132,2,0.2389786936616192,-0.8580882219488519
137,2,-0.7827715571237581,0.05912352605333483
150,2,-0.8959100684527035,0.65901440571212
151,2,0.7788359791754811,0.5946194542927361
161,2,0.8703625568524013,-0.24121258887564917
164,2,0.29182475101770644,-0.8391407827632147
165,2,0.8554729075117705,0.2944001002910852
169,2,-0.6902285844976871,0.3567712122648072
170,2,-0.7683143337892585,0.056681654650644425
172,2,0.6693122299164797,-0.555380465472222
173,2,-0.8233005302423538,-0.3629864264669664
175,2,0.6437206144173567,0.7555236488884471
176,2,-1.0503141839508239,0.26333737091972
181,2,-0.7830194075412298,0.24682547024660412
185,2,-0.6897871144390946,0.2037486103653311
193,2,-0.6183106348408453,0.7630424283057935
202,2,-0.7764218005162086,0.07610656588381483
205,2,-0.7369028965438588,0.17499115331879805
206,2,0.5188964457249848,-0.017523248755965698
208,2,0.817808111901113,0.527696904569646
209,2,0.72038624050948,0.35638927335779347
213,2,-0.7401348942404803,0.09917965898979354
220,2,-0.09633121987423456,0.37746906779472755
221,2,-0.6666640042997319,-0.08395919555223007
222,2,-0.8019111073617164,0.1014990118479554
224,2,-0.753097874751094,0.40561154721184633
226,2,-0.719864037171506,0.11638573511251525
234,2,0.7076299198217426,0.6566239187771035
239,2,-0.703707421137012,0.6079374739313941
804,2,-0.7952160871163125,0.33165982065425115
806,2,0.2791903599377539,-0.8439769412713808
807,2,0.7845663781589395,0.6084266659806362
808,2,-0.9242014218270271,-0.4308250982095716
810,2,-1.0673458913060803,0.18838750796219353
811,2,0.5937591072673922,0.22183523518246429
812,2,0.7254507078626959,0.3516860448660964
813,2,0.3219014563209879,-0.6722141810119215
814,2,0.8247942557694149,-0.3501716072240997
816,2,-0.9593976019035558,0.3720422808366352
817,2,-0.9370009921427198,0.5940557133138569
819,2,-0.6744326814266354,0.07848454433393662
821,2,0.715937191014063,0.33409697319254567
823,2,0.8017155214159133,0.578831387711468
825,2,0.5324933717714827,-0.7042948706605068
828,2,0.766323227772877,-0.05986715488967699
830,2,0.854694139392311,0.33675946198049556
832,2,-0.8311407424728895,0.737007405527536
837,2,-0.9912103837092012,-0.29584687066482906
842,2,0.4856794219044478,-0.737738537922137
843,2,0.6763815263947617,-0.5709646210268833
844,2,0.6521746409031697,0.35033187825119627
848,2,-0.6431047370778951,0.5726397515867588
850,2,0.6565049825261743,-0.33004028383928985
854,2,-0.665789374523869,-0.24664439946285655
855,2,-0.7882693347634185,0.03411202015874998
857,2,0.786293879232824,0.605548516160016
859,2,-1.0408008344094128,0.3400585666871938
863,2,0.5290732924212825,-0.6630822372565998
864,2,0.591880236521761,0.6489944967411563
866,2,-0.8181131397696011,-0.41926220674424164
868,2,0.44109762172882694,-0.6418932101371417
870,2,-0.8350046374554272,0.7386952524034872
873,2,-0.7754440265146021,0.1519872827338007
875,2,0.6490200323462584,0.6302197898327264
877,2,-0.8995917842195165,-0.4575917711818598
878,2,-0.7923510389350937,0.13394502584303547
879,2,-0.752122327945594,0.12494832293358316
881,2,0.33803567580616556,-0.6328347592155007
882,2,-0.7988695637781834,0.31665083353307655
885,2,-0.6993782869533613,-0.17734139958666711
888,2,-0.9236821490881594,-0.33500009733539104
889,2,0.7152544929418926,0.7090061834150452
894,2,-0.7929853539944313,-0.3053102292439649
895,2,0.784244701729297,0.6089602119555523
897,2,-0.8339586432872121,-0.52703059151456
899,2,-0.8213135194635653,0.03218616175610948
902,2,-0.7691850789282412,0.050200088192973974
903,2,-0.7342212445346116,0.35915802860760765
906,2,0.7528208237227573,0.6577779245513631
908,2,0.7015794448327565,0.7260754905136777
910,2,-0.8186159870796467,0.28419858572345746
912,2,0.45339098566835245,-0.6009358892995081
914,2,-0.8713715405972606,-0.29916313547242007
916,2,-0.6673554923524948,0.11310599039015701
917,2,0.5076543536318826,0.2219445581612105
918,2,-0.7456483705884813,0.22279503097056003
962,2,0.2771870188514104,-0.49975361501973403
132,3,0.33838982052847266,-0.4638571016438843
137,3,-0.916081388349219,-0.3710998300959675
140,3,-0.8693831293643158,-0.1120842640965769
150,3,-0.9268467203344435,0.3853552753624201
151,3,0.7982280116960957,0.6587913614406384
155,3,0.4706727567717676,-0.7171200972613423
158,3,-0.8739575970373614,0.34083874916494505
159,3,0.8466926184023637,0.19414592176966125
161,3,0.4887967803285918,-0.622273605366743
164,3,0.4848357852080168,-0.5488726809220991
165,3,0.8112205601594322,0.13516324810306884
166,3,0.5373608053979391,0.009797730861389256
169,3,-0.9066821478716769,0.32679555632187485
170,3,-0.7623459271248596,-0.04733410673875768
172,3,0.6407851044479811,-0.5852571529838091
173,3,-0.7937742698137956,0.47371341272508183
175,3,0.8752836282125248,0.43758481643341496
176,3,-0.9401871018341266,0.17678948729340252
177,3,-0.8168984083475591,0.3949233184603763
178,3,0.21694308761028325,-0.30398164709929354
179,3,0.8271638768967297,0.3800791648610481
181,3,-0.8142057539312428,-0.2112447777205891
185,3,-0.8906838276597902,-0.3949815588548009
187,3,0.877771668399597,0.28139865432926536
190,3,-0.7371400461886791,-0.5461787900468547
193,3,-0.9065979029707498,0.6560994595287366
195,3,-0.8790586003665184,0.6986891655891427
202,3,-0.7643531013100014,0.43586398360835954
205,3,-0.8686073380868886,0.1874116494893292
206,3,0.7909652157228528,0.6704104382590625
208,3,0.8229958642730595,0.6162438318041783
209,3,0.8280024814069611,0.5007754569104895
213,3,-0.8979433170055353,-0.358897253725158
220,3,-0.8869873768569067,-0.23150161523340854
221,3,-0.7484869461394357,0.7280840587604147
222,3,-0.8565490865564848,-0.4611447409134859
224,3,-0.8992091958759414,-0.39884243977646505
226,3,-0.8510872446282294,-0.22885309238558957
234,3,0.914311284818951,0.38679537982613665
239,3,-0.7667272812794177,0.010541537500656617
800,3,-0.8126527523445557,0.25955102386145656
802,3,-0.9272992277986544,0.6206126351793404
804,3,-0.9997077990029478,0.27830938791309745
805,3,0.8611975709452648,0.4093677919084908
806,3,0.5982745476543244,-0.6239551448233791
807,3,0.855365380747639,0.49440237455043956
808,3,-0.811357447286923,0.016280879496520226
810,3,-0.8610333229297437,-0.058791491208300156
811,3,0.8648898961625765,0.4899944684077644
812,3,0.8628390081003567,0.2702662687344276
813,3,0.24494394070100978,-0.6283438440861507
814,3,0.5287339865569163,-0.6785434296946043
816,3,-0.8426655709709823,-0.4794212839763091
817,3,-0.9135838185318803,0.46128494865722847
818,3,0.5565621433890262,-0.5477876301764503
819,3,-0.8321282849934742,0.24379800471825877
821,3,0.8428702301524469,0.20064113611839393
822,3,0.79787939362377,0.6593571025380375
823,3,0.8441513154119062,0.25427445303065643
825,3,0.5544462799183755,-0.6595073487324222
826,3,0.8478145621894252,0.3154045168371883
828,3,0.8780461917523589,0.14796803315353807
830,3,0.8601073894704249,0.31940068566394053
832,3,-0.9153741902014201,0.3710767264316668
834,3,0.35011096810857684,-0.7804141130460589
837,3,-0.8683102572089766,0.5590966900724302
840,3,0.8797476538953146,0.3185970875160854
842,3,0.5728595999904216,-0.5784758493934397
843,3,0.5688995521741441,-0.4085704490389829
