 ,1433,1438,1448,1449,1450,1451,1452,1454,1457,1458,1459,1460,1462,1463,1464,1468,1469,1470,1472,1478,1479,1480,1481,1482,1483,1484,1488,1489,1497,1498,1499,1504,1505,1506,1511,1514,1518,1519,1528,1529,1534,1546,1547,1548,1549,1553,1565,1566,1568,1569,1570,1571,1577,1578,1581,1582,1583,1584,1585,1586,1590,1591,1592,1599,1601,1607,1608,1612,1613,1614,1615,1616,1617,1618,1620,1621,1622,1625,1626,1629,1630,1631,1632,1633,1636,1637,1638,1639,1650,1653,1654,1655,1659,1664,1665,1671,1672,1673,1680,1683,1684,1685,1686
74,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
132,1,1,9,9,9,1,1,1,1,6,9,1,1,9,1,6,1,1,1,9,1,1,1,1,1,1,1,1,9,1,1,9,9,1,1,1,9,9,1,1,1,1,9,1,1,1,1,1,6,9,1,6,1,6,9,1,1,1,1,1,9,1,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,1,6,9,1,1,1,9,9,1,6,6,1,1,1,1,1,1,1,1,1,1,1
137,1,9,1,1,1,1,1,1,9,9,1,1,9,1,1,1,1,1,1,9,9,9,9,9,1,1,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,9,1,9,9,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,6,1,1,1,1,1,1,6,6,9,9,9,1,1,1,1,1,1,1,1
140,1,9,9,9,9,9,9,9,1,6,1,1,9,9,9,1,1,1,1,1,9,9,9,9,1,1,9,9,9,1,1,1,1,1,9,9,9,9,9,9,1,1,1,1,1,9,1,1,1,1,9,1,9,9,1,9,1,1,1,1,1,1,1,9,1,9,9,1,1,1,1,1,1,1,1,1,1,9,1,9,1,1,1,6,9,9,9,1,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9
150,9,1,1,1,1,1,1,1,1,6,1,1,9,9,9,1,9,1,6,1,9,1,1,1,1,9,9,9,9,9,1,1,1,1,1,1,9,1,9,9,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,6,1,9,9,9,1,1,9,9,9,9,1,6,9,6
151,1,1,1,6,6,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,9,1,1,1,1,1,1,1,9,1,1,1,1,6,6,6,1,1,1,6,6,6,6,6,6,1,6,1,1,9,9,1,1,9,1,1,6,1,1,9,1,1,1,1,6,1,9,9,1,1,1,1,1,6,9,6,6,1,1,1,1,6,9,1,9,1,1,1,1,1,1,1,9,6,6,6
155,9,9,1,1,1,1,6,9,1,6,9,9,9,9,9,6,1,1,1,9,9,9,9,9,9,9,9,1,9,9,9,1,9,1,1,1,9,9,9,9,9,1,9,1,1,9,1,6,9,1,9,9,1,6,9,9,1,1,1,9,9,9,9,6,9,9,9,1,1,1,1,1,1,1,6,1,1,9,1,9,6,1,6,9,1,1,1,1,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9
158,9,9,9,9,9,1,1,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,1,1,1,1,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,6,9,9,9,9,9,9,1,1,9,9,9,9,9,1,1,9,1,1,1,1,6,1,1,1,1,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,1,9,9,1,1,1,9,6
159,9,1,9,9,9,9,1,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,1,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,1,1,1,9,6,9,9,9,1,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,6,9,6,6,9,9,9,9,6,1,6,6,1,1,1,1,1,1,1,9,9,9,9
161,1,9,9,9,9,1,6,1,9,9,6,1,9,1,1,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,1,6,1,1,9,1,6,6,6,6,9,9,6,9,9,9,9,1,9,1,1,1,6,1,1,6,1,9,9,9,9,9,1,1,1,1,1,1,1,6,9,6,6,9,9,9,9,6,9,6,6,9,9,9,1,1,1,9,9,9,9,9
164,1,9,1,9,9,1,1,1,9,6,9,1,9,9,9,6,1,9,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,6,9,6,6,1,6,9,9,1,1,1,1,1,1,9,6,1,1,9,1,1,1,1,1,1,1,6,1,1,1,1,1,6,9,6,9,1,1,1,9,6,9,9,9,9,9,9,1,1,1,1,1,1,9,9
165,1,9,1,6,6,1,1,1,9,9,6,1,9,9,9,1,1,1,1,9,9,1,1,1,1,1,9,6,1,1,9,1,1,1,1,9,1,1,9,9,9,1,9,1,1,1,9,9,9,9,9,9,9,6,9,9,9,1,1,1,9,1,9,6,1,1,1,1,9,9,9,9,1,9,6,1,1,9,1,1,6,9,6,6,9,9,9,1,9,1,6,6,1,1,1,1,1,1,1,9,6,6,6
166,1,9,9,9,9,9,1,1,1,6,6,1,1,9,9,6,1,1,1,9,9,9,9,9,9,1,9,9,9,9,9,9,9,9,1,9,9,1,9,9,9,1,9,9,1,9,1,9,9,6,9,9,1,6,1,1,1,1,1,1,1,1,9,6,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,1,6,6,1,1,1,1,1,9,9,9,9,9,9,1,1,1,9,9,9,9,9
169,9,9,1,1,1,9,9,9,9,9,9,1,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,9,9,1,1,1,1,1,9,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,9,9,1,1,1,1,1,1,9,9,9,9,9
170,1,9,9,9,9,9,1,1,9,9,9,1,9,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,1,6,1,9,9,9,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,6,1,9,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,6,9,9,9,1,1,1,6,6,9,9,9,9,9,9,1,1,1,1,1
172,9,1,9,1,9,9,9,9,1,6,9,1,9,9,9,6,1,1,9,9,9,9,9,9,1,1,9,9,1,6,1,1,1,1,9,9,1,1,9,9,9,1,6,1,1,1,1,6,6,9,9,6,6,6,1,1,1,1,1,1,1,1,1,6,9,1,1,1,9,1,1,1,1,1,6,1,1,9,9,1,6,9,6,6,9,9,9,9,6,1,6,6,9,1,1,1,1,1,1,9,9,9,9
173,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,9,9,9,9,1,1,9,9,1,1,1,1,1,1,6,1,9,1,1,1,1,6,1,1,1,9,1,1,1,1,1,1,9,9,9,9,1,9,9,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,6,6,1,9,9,1,1,1,9,9,9,9,9
175,1,9,9,9,9,1,9,1,1,6,6,1,9,9,1,1,1,1,9,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,6,9,1,1,1,1,6,1,9,1,1,9,1,6,6,6,9,6,1,6,9,9,9,9,9,9,9,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,9,6,6,9,9,9,9,9,1,6,6,1,9,9,9,9,9,9,1,9,6,9
176,9,1,9,9,9,9,9,9,9,9,1,1,9,9,9,1,1,1,9,1,1,9,9,9,1,1,1,9,1,1,9,1,1,1,9,9,9,9,9,9,1,9,9,9,9,9,1,1,1,1,1,1,1,9,1,1,1,1,9,9,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,9,9,9,9,9,9,1,1,1,1,1
