 ,1282,1287,1288,1289,1295,1303,1304,1307,1322,1323,1327,1328,1342,1343,1344,1345,1346,1347,1402,1409,1413,1416,1417,1418,1432
74,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
132,1,6,6,9,9,9,1,9,1,9,9,9,1,9,9,6,1,1,1,1,9,1,9,9,9
137,9,1,1,1,9,9,9,1,9,1,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9
140,1,9,9,9,1,9,1,9,9,9,1,1,9,9,9,1,1,1,1,1,9,1,1,1,1
150,9,9,9,1,9,1,1,9,9,1,1,1,1,9,9,9,9,9,1,1,1,6,1,1,1
151,1,6,6,1,1,9,1,9,1,1,9,1,1,6,1,9,1,1,9,1,1,6,6,1,1
155,1,9,9,9,1,9,9,6,1,6,6,1,1,9,1,9,1,6,9,9,9,9,9,9,9
158,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
159,9,9,9,9,1,1,9,9,9,9,9,1,1,9,1,1,1,9,1,1,9,9,6,1,1
161,9,1,6,1,9,1,1,9,1,1,1,1,9,9,9,9,9,9,9,9,1,1,1,1,1
164,1,6,6,1,1,1,1,9,1,9,9,1,1,1,1,6,1,6,1,1,9,9,9,9,9
165,9,6,6,1,9,9,9,9,1,9,6,1,1,9,9,1,1,9,1,9,1,9,9,1,1
166,9,9,6,1,9,1,9,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
169,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,9,9
170,9,1,1,1,9,1,9,9,1,1,1,1,1,9,6,6,1,9,9,9,1,1,1,1,1
172,9,6,6,1,1,9,9,6,1,9,9,1,9,6,1,9,1,6,9,1,9,9,9,9,9
173,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,1,1,1,1,1,6,1,1,1
175,9,6,1,1,9,1,1,1,9,1,9,1,1,6,1,9,1,1,1,1,9,9,9,9,9
176,9,9,9,9,9,1,6,9,9,1,1,1,1,9,1,6,1,1,1,1,9,9,9,9,9
177,9,1,1,1,9,1,1,1,9,9,1,1,1,9,9,9,9,9,9,1,1,6,1,1,1
178,9,9,9,9,9,9,9,6,9,9,1,1,1,9,9,9,9,9,9,9,9,1,9,9,9
179,1,6,1,1,9,9,1,9,1,1,9,9,9,9,1,9,1,9,1,1,1,9,9,9,9
181,9,9,9,9,9,1,1,1,1,1,1,1,1,9,9,9,1,1,1,9,1,9,1,1,1
185,9,9,1,1,1,9,9,1,1,1,1,1,1,1,1,6,6,1,1,1,1,9,1,1,1
187,9,6,1,1,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,1,1,6,1,1
190,9,9,1,1,9,1,1,9,9,9,1,1,1,9,1,1,1,1,1,9,1,1,9,9,9
193,1,1,1,1,6,9,6,1,1,1,1,1,9,9,9,9,9,9,1,1,9,6,1,1,1
195,9,1,1,1,1,1,6,9,9,1,1,1,9,9,9,9,9,9,9,9,9,6,1,9,1
202,9,1,1,1,1,1,1,1,9,9,1,1,1,1,9,9,1,1,9,9,1,1,1,1,1
205,9,1,9,1,9,9,9,9,9,9,9,9,1,9,6,6,9,1,1,1,9,9,9,9,9
206,9,9,6,1,1,1,9,9,1,9,6,1,9,9,9,9,9,9,1,1,1,9,6,1,1
208,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,9,9,9,9,1,1
209,9,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,9,9,9
211,9,1,1,1,9,9,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1
213,1,1,1,1,1,1,1,6,9,1,1,1,1,1,6,6,1,1,1,1,9,9,9,9,9
220,1,1,1,1,1,1,1,6,1,1,9,1,9,1,1,1,1,1,1,1,1,1,9,1,1
221,6,9,1,1,1,1,9,9,9,1,9,9,1,9,6,9,1,1,1,1,1,6,1,1,1
222,1,6,1,1,9,1,9,6,1,1,1,1,1,9,9,9,1,1,1,9,1,6,1,1,1
224,1,9,1,1,1,9,9,9,9,1,1,1,1,1,9,9,9,1,9,9,1,9,9,1,1
226,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,9,1,1,1
234,9,6,6,1,1,1,1,1,9,1,1,1,9,9,9,9,9,9,9,1,1,1,6,1,1
239,1,6,6,1,1,9,1,9,1,1,1,9,1,1,1,6,1,1,9,1,1,1,9,1,1
242,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
660,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
800,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1
