 ,3388,3396,3397,3402,3403,3404,3405,3406,3407,3408,3409,3410,3411,3412,3413,3414,3417,3418,3419,3420,3424,3425,3426,3427,3428,3431,3432,3433,3435,3439,3440,3441,3442,3443,3444,3445,3446,3447,3448,3449,3450,3451,3456,3458,3465,3466,3477,3478,3479,3480,3481,3482,3490,3491,3496,3502,3503,3504,3505,3506,3507,3508,3509,3510,3515,3516,3517,3518,3519,3520,3521,3522,3523,3524,3530,3531,3533,3534,3537,3538,3539,3545,3546,3547,3548,3555,3556,3558,3559,3565,3566,3567,3568,3573,3574,3575,3576,3578,3579,3582,3583,3584,3586,3587,3588,3589,3595,3596,3597,3598,3599,3600,3601,3602,3603,3604,3605,3606,3607,3610,3611,3612,3613,3614,3615,3616,3617,3618,3619,3623,3624,3625,3626,3627,3628,3629,3630,3632,3633,3634,3640,3641,3642,3643,3644,3645,3651,3652,3653,3654,3655,3656,3665,3666,3667,3675,3676,3677,3678,3679,3680,3681,3689,3690,3691,3692,3693,3695,3696,3697,3698,3705,3706,3713,3714,3715,3717,3718,3719,3720,3724,3725,3732,3733,3740,3742,3743,3744,3751,3753
74,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
132,1,9,9,1,1,1,1,1,9,6,6,6,6,6,6,6,6,1,9,1,1,1,1,1,1,1,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,9,9,9,9,9,9,9,9,9,9,1,6,6,1,9,9,1,9,1,1,6,6,1,6,6,1,6,1,6,1,1,1,1,1,1,1,1,1,9,9,9,1,1,6,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,6,1,6,1,6,6,6,1,6,1,6,1,1,9,6,1,1,1,6,6,6,6,6,1,6,6,9,9,6,1,1,1,1,6,1,1,1,6,1,1,1,1,6,6,6,6,1,1,1,1,1,9,1,1,6,1,9,9,9,9,9,1,1,1,1,9,1,9,9,9,1,1,1,1,1,1,1,1,1,1,6,6,9,1
137,1,1,1,9,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,6,9,9,9,9,1,1,1,9,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,9,9,9,9,1,1,1,6,1,9
140,1,9,9,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,9,1,1,1,1,1,9,1,1,1,1,1,9,1,6,1,9,9,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,6,6,1,6,1,1,6,1,1,1,1,1,1,1,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,9,9,9,9,9,1,6,9,9,6,1,1,1,1,1,1,1,6,1,1,9,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,1,1,9,9,9,1,1,1,1,1,1,1,1,6,1,6,1,9,9,9,1,6,6,6,6,6,1,1,6,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,9,9,9,9
150,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,6,1,1,9,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,1,1,1,9,1,1,9,1,1,1,9,9,9,9,9,9,9,1,1,1,1,1,1,9,9,1,1,1,1,1,1,1,1,1,1,1,6,1,1,9,9,9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,1,1,1,1,1,9,1,9,9,9,1,1,1,1,1,1,1,1,6,1,6,6,9,9,9,1,6,6,6,9,6,1,9,9,9,9,9,9,9,9,9,1,1,9,9,9,1,1,1,1,9,9,1,1,1,1,1,1,9,9
151,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
155,1,9,9,1,1,1,1,1,9,6,6,6,6,6,6,6,6,1,9,1,1,1,1,1,1,9,6,6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6,6,9,1,1,1,1,9,6,6,9,6,6,1,9,6,1,9,1,1,6,6,6,9,6,9,6,1,6,1,9,1,9,9,1,1,1,1,6,6,1,9,1,6,9,9,6,6,6,9,9,9,9,9,9,1,1,1,1,6,1,6,1,6,6,6,1,6,1,6,1,9,6,6,1,1,1,6,6,9,9,6,9,6,6,6,6,6,1,1,9,9,9,1,1,1,6,1,1,1,1,6,6,6,6,9,9,9,1,6,1,6,1,1,6,6,9,9,1,1,1,1,1,1,6,6,9,9,9,9,9,9,1,9,9,1,1,1,1,6,6,1,1
158,1,9,9,9,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,9,1,9,9,1,1,1,1,1,1,1,1,9,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,9,9,1,1,1,1,1,9,1,1,9,9,1,6,1,9,6,9,9,1,1,1,1,1,1,1,1,1,1,1,1,9,9,9,9,9,9,9,6,1,1,1,1,1,1,1,1,1,9,9,9,9,9,1,1,1,1,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
159,1,9,9,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,9,6,6,1,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,6,9,1,1,1,9,1,9,9,9,9,9,9,9,9,9,9,6,1,9,6,6,6,1,6,6,6,1,6,9,1,9,9,9,1,1,9,9,9,9,9,9,1,6,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,6,9,6,6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,1,1,1,1,1,1,9,1,9,9,9,9,9,1,9,9,9,9,9,9,9,9,9
