parameter,value
log_likelihood,-13417.231143
iterations,4
valid_votes,92253
correct_classifications,87000
classification_pct,94.3059
w1,1.000000
w2,0.358800
beta,7.105365
temporal_model,0
dimensions,2
periods,1
canonical_source,wmay
elapsed_seconds,15.63
