legislator_id,period,coord1D,coord2D,effective_model
74,1,-0.80025447209675460,0.00903009669896138,0
172,1,0.89157023350843545,0.28584492821645507,0
660,1,-0.19727179370283651,0.73435725926706874,0
803,1,-0.73529525529844897,0.34253070266065005,0
810,1,-0.57778253701382043,0.12837292221528709,0
811,1,0.72993796879065176,-0.27108564893874298,0
815,1,0.37243749637813733,-0.55341930322617838,0
827,1,-0.78331494654929068,0.62162500142514099,0
837,1,-0.76904977545245357,-0.07605169920862960,0
843,1,0.63670376316688504,0.37086569597303987,0
848,1,-0.72875379602795809,0.34235592962849470,0
850,1,0.43477976149166070,-0.29572044876569148,0
855,1,-0.47613425664076675,-0.24170734375087341,0
856,1,-0.69740638408421540,0.29993114753842398,0
862,1,-0.34880120193793424,-0.21173090318787421,0
865,1,0.71575058103190115,-0.31901395700224255,0
866,1,-0.40933883290440887,-0.39690326031006345,0
869,1,-0.72432334435648649,0.14270410615910456,0
872,1,-0.79471673845933188,0.11349921946964843,0
875,1,0.30679013386347592,-0.50539707024623326,0
879,1,-0.38206017746045806,-0.55878584444652202,0
885,1,-0.54976170343312736,-0.35054896283958170,0
893,1,-0.22481117891745217,0.44902032800210706,0
897,1,-0.76008783452124495,0.29867309961890098,0
898,1,-0.46380346913525922,0.32943199968927922,0
908,1,0.70019679184599248,-0.68544277498204575,0
913,1,-0.50685310356928570,-0.00940924634760311,0
917,1,0.57964542557609722,-0.21332428313566396,0
920,1,-0.76311066619042334,-0.04076228105657877,0
923,1,0.26190177810886417,-0.27154215340450200,0
925,1,-0.42185057553832905,-0.37104827415890079,0
926,1,0.62575950645614253,-0.21129599946771158,0
931,1,-0.71069838027001697,0.00671631822378919,0
936,1,-0.78220528268869949,0.62301766186787721,0
937,1,-0.91908245016751011,0.29317375930306688,0
940,1,0.69271663831214747,-0.38690991834980260,0
942,1,0.72239718798673092,-0.43417890919289809,0
945,1,0.42721789529631027,-0.17343335826699577,0
946,1,0.80309604823604253,0.31787989672499217,0
949,1,0.69595734597005521,0.69431063847918528,0
950,1,-0.62571182699973993,-0.33771926837766919,0
952,1,0.73298164612997341,0.50842357139339001,0
