legislator_id,served_periods,effective_model,beta0_dim1,beta0_dim2,beta1_dim1,beta1_dim2,beta2_dim1,beta2_dim2,beta3_dim1,beta3_dim2,intercept_radius
74,3,0,-0.775427710777858,-0.118670899339407,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.784455809457877
132,8,2,0.512769927730604,-0.363315572356519,0.359261935562218,0.083979424858054,0.015923138885314,0.112550826531890,0.000000000000000,0.000000000000000,0.628435520878311
137,8,2,-0.664792004039056,-0.223858733512456,0.299141295345830,0.075319795889744,-0.117032119612326,-0.228989534190468,0.000000000000000,0.000000000000000,0.701470698749466
140,8,2,-0.471583424771843,-0.435717644710613,0.088328290864109,0.052596406971937,-0.381755052924953,0.021520627356268,0.000000000000000,0.000000000000000,0.642059804404313
150,8,2,-0.925287571814731,0.326449792851015,0.022125154141720,-0.464177268444643,0.026879607996272,0.072306355268414,0.000000000000000,0.000000000000000,0.981186301273755
151,4,0,0.802198054612470,0.597058021615965,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
155,8,2,0.711973052833570,-0.403787986037682,0.157576988745739,0.150896810153815,0.074446222687011,-0.016330500110729,0.000000000000000,0.000000000000000,0.818504957608395
158,7,2,-0.857569266862942,0.389240766093171,-0.126202432250948,-0.162504096163111,0.024298838629060,0.021027824686585,0.000000000000000,0.000000000000000,0.941771427394483
159,8,2,0.743350167450149,0.416859897081975,-0.180857106762195,-0.006368522643695,0.351715680374829,-0.181915407549277,0.000000000000000,0.000000000000000,0.852256795363556
161,8,2,0.720690106537617,-0.348645103969961,0.044221595399972,0.172574040075711,-0.064800757862193,-0.001586271203942,0.000000000000000,0.000000000000000,0.800592054784099
164,8,2,0.554910506807900,-0.387539119213055,0.328584030373737,0.247443517335231,0.218362742336021,0.112425206931262,0.000000000000000,0.000000000000000,0.676839892061801
165,8,2,0.939187160771303,0.343405703275786,0.016411439540817,-0.247161270832944,-0.113674710441764,0.172085200280292,0.000000000000000,0.000000000000000,1.000000000000000
166,8,2,0.736359264628260,-0.250474802504281,-0.725581173996369,-0.371737428692150,0.766480446218832,0.466307895711119,0.000000000000000,0.000000000000000,0.777793412991798
169,8,2,-0.832176097618146,0.399969632024199,0.055902394539763,-0.178109551973270,-0.098699327922739,0.164640981636874,0.000000000000000,0.000000000000000,0.923305347102755
170,4,0,-0.236160152245695,-0.369984642054705,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.438930806466188
172,11,2,0.909688022609209,-0.132693214899251,0.046698932471884,0.199846799102839,0.007138913365876,0.189490322054754,0.000000000000000,0.000000000000000,0.919314846915327
173,4,0,-0.939844735741409,0.341601921392666,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,1.000000000000000
175,8,2,0.745929302002014,0.513828514531146,0.155155273227063,-0.235789677741680,-0.055710571336986,0.052759834079817,0.000000000000000,0.000000000000000,0.905776057273814
176,8,2,-0.991214994637893,0.132260479376875,0.081597525802282,0.350013232065887,0.095879234624913,-0.739338102126697,0.000000000000000,0.000000000000000,1.000000000000000
177,12,2,-0.755426700622324,0.224991457173079,0.065553081055614,-0.386334564999431,0.047357546976744,-0.033886575519188,0.000000000000000,0.000000000000000,0.788219928582116
178,8,2,0.260470845929261,-0.441306952029846,-0.253657090191252,0.065908262446409,-0.721645313847887,0.073921168492986,0.000000000000000,0.000000000000000,0.512442082082431
179,8,2,0.664668835616083,0.529012268370837,0.316714897772022,-0.236543991701986,-0.178407936102710,-0.073693773225239,0.000000000000000,0.000000000000000,0.849493167203891
181,8,2,-0.668834805153706,-0.090213456424183,0.109449844764897,0.465844920509560,-0.127900802849474,0.169696422319014,0.000000000000000,0.000000000000000,0.674891446311919
185,8,2,-0.745786261935757,-0.143308303492070,0.171406072530874,0.054793158194039,0.080080194812950,-0.246732696651053,0.000000000000000,0.000000000000000,0.759430324876407
187,8,2,0.682020200746916,0.490427576806463,0.124115979964369,-0.160107260538353,-0.023172765343550,-0.001815152928441,0.000000000000000,0.000000000000000,0.840042119372072
190,8,2,-0.427054057518594,-0.052029982703545,-0.119683689580300,0.950935064745569,0.102880026653518,-0.021088409127994,0.000000000000000,0.000000000000000,0.430211909578554
