iteration,log_likelihood,w2,beta,delta_log_likelihood
1,-461324.415159139491,0.881606091444,0.050000000000,0.000000000000
2,-138800.490544314991,0.947943262836,1.953882873646,322523.924614824471
3,-106808.313455415031,0.913776557374,2.973600672566,31992.177088899960
4,-97103.446255926712,0.910525329951,3.785578473000,9704.867199488319
5,-93090.820269055024,0.915948738021,4.462996761104,4012.625986871688
6,-90928.899719957510,0.923909772553,5.049757039438,2161.920549097515
7,-89554.595260497168,0.932169895025,5.581862940553,1374.304459460342
8,-88578.756378591803,0.940345881277,6.077831752633,975.838881905365
9,-87861.567199076191,0.948249195933,6.545662844313,717.189179515612
10,-87306.079953377615,0.955855235424,6.994226851456,555.487245698576
11,-86844.879962287974,0.963000544235,7.426746151019,461.199991089641
12,-86451.395399374553,0.969839675826,7.848461527820,393.484562913422
13,-86104.179454682671,0.976442845171,8.263171509565,347.215944691881
14,-85811.099515595008,0.982871009055,8.671987919577,293.079939087664
15,-85555.686853266656,0.989032417318,9.076281025901,255.412662328352
16,-85318.568349386522,0.995006401845,9.475958431431,237.118503880134
17,-85106.225903759871,1.000827992360,9.873071687754,212.342445626651
18,-84896.260036122432,1.006497144960,10.268852968331,209.965867637438
19,-84718.356462682845,1.012002109767,10.663300044130,177.903573439587
20,-84552.389065947864,1.017353522406,11.057298004956,165.967396734981
21,-84377.912407519761,1.022530211441,11.451257980022,174.476658428102
22,-84232.944888034865,1.027636545202,11.846055447920,144.967519484897
23,-84102.792070193042,1.032622609613,12.241682945337,130.152817841823
24,-83982.376732483215,1.037488187222,12.636760055234,120.415337709826
25,-83865.890582757769,1.042281912506,13.031484994115,116.486149725446
26,-83760.031974395140,1.046974087030,13.426280214483,105.858608362629
27,-83657.265061198224,1.051592496857,13.821230931624,102.766913196916
28,-83561.278076963688,1.056150112612,14.217217482726,95.986984234536
29,-83469.140378650001,1.060583820057,14.613248492111,92.137698313687
30,-83380.662246614971,1.064953310187,15.011205436557,88.478132035030
31,-83296.985458565599,1.069208954466,15.409250706244,83.676788049372
32,-83220.211178246187,1.073397206356,15.808046656913,76.774280319412
33,-83145.812375823429,1.077499178764,16.206654600933,74.398802422758
34,-83071.821135731952,1.081527022494,16.606294910849,73.991240091476
35,-83004.636851538264,1.085475820957,17.007053771184,67.184284193689
36,-82940.096651087792,1.089366259448,17.408467791519,64.540200450472
37,-82878.414722934060,1.093181533213,17.811290202033,61.681928153732
38,-82818.894252188024,1.096947163373,18.214996622461,59.520470746036
39,-82762.030064384788,1.100649746011,18.619507204027,56.864187803236
40,-82706.949785150980,1.104286061196,19.025208711961,55.080279233807
