panel,votes,fortran,adhoc,adhoc_native,nlopt,nlopt_native,adhoc_gain_per_vote,nlopt_gain_per_vote,seconds
chile-static-leg353,7858,-1154.505986916076,-1146.049010,-1146.049261123495,-1119.204311165841,-1119.204780519143,0.001076193152530031,0.004492390735165807,8.0
chile-static-leg366,52079,-6398.123423099518,-6415.818292,-6415.817343235016,-5927.804389818887,-5927.806433677673,-0.00033975153392918543,0.009030837562584621,28.9
chile-static-leg368,92253,-13597.479442119598,-13417.231143,-13417.227622985840,-13087.154742679057,-13087.156387567520,0.0019538857179035754,0.005531777335718928,47.2
us-static-sen90,46440,-15543.729450941086,-15547.016827,-15547.016500711441,-15466.052779594613,-15466.055030822754,-7.078057214373869e-05,0.0016725757992750196,19.0
us-dynamic-5p,244247,-37299.698687780183,-37166.613288,-37166.604654612485,-36388.864954567973,-36388.867960039992,0.0005449157335308008,0.003729137830721323,113.4
chile-dynamic-23p,692839,-119043.486668713391,-117588.495212,-117588.480299852788,-98483.536380086676,-98483.467967749340,0.0021000641835413458,0.029675030852714772,701.0
