cohort,party,target,period,n,observed_median_d1,successful_replicates,bootstrap_mean,bootstrap_bias,bootstrap_se,percentile_ci_lower,percentile_ci_upper,basic_ci_lower,basic_ci_upper
balanced,PPD,P3,12,5,-0.702769515563739,999,-0.6946983008034538,0.008071214760285161,0.032584678592148114,-0.7575454958326464,-0.6333744751856191,-0.772164555941859,-0.6479935352948316
balanced,PR,P1,5,6,-0.2330479200152035,999,-0.26354973183324015,-0.030501811818036656,0.015240698389989208,-0.29283375852027915,-0.23419013304369052,-0.23190570698671648,-0.17326208151012784
balanced,PR,P2,8,6,-0.3028728080782735,999,-0.31028174516113954,-0.007408937082866052,0.011856893027622993,-0.33320765344576075,-0.2872813981414558,-0.31846421801509117,-0.27253796271078623
balanced,PR,P3,12,6,-0.44982209157550646,999,-0.4279811978095406,0.021840893765965874,0.03295493205960952,-0.49140709742548505,-0.36266483932137794,-0.536979343829635,-0.40823708572552786
balanced,PREP,P3,12,1,0.883440199908759,999,0.9049105032302253,0.021470303321466266,0.04369972152909191,0.8214744169767975,0.991999856907182,0.774880542910336,0.9454059828407205
balanced,PRI,P1,5,1,-0.648184850333521,999,-0.6995718069536175,-0.05138695662009651,0.018278483203813853,-0.7356969708183655,-0.664517898225822,-0.6318518024412201,-0.5606727298486766
balanced,PRI,P2,8,1,-0.665608703422343,999,-0.6901286716323118,-0.024519968209968823,0.017436786844421837,-0.7236016581738484,-0.6551881075003949,-0.6760292993442911,-0.6076157486708377
balanced,PRI,P3,12,1,-0.688840507540772,999,-0.6775378245372377,0.01130268300353432,0.03779413176605647,-0.7477926128295946,-0.6036164930172102,-0.7740645220643337,-0.6298884022519493
balanced,PRO,P2,8,1,-0.807806208531565,999,-0.8266132307355986,-0.01880702220403352,0.01831707776921701,-0.861823205429487,-0.7918656468340256,-0.8237467702291045,-0.7537892116336431
balanced,PRO,P3,12,1,-0.908890778604038,999,-0.8960333022700292,0.0128574763340088,0.04164786595763735,-0.9800920793177285,-0.8141450014642786,-1.0036365557437974,-0.8376894778903475
balanced,PS,P1,5,18,-0.5511791654031875,999,-0.5955901431322241,-0.04441097772903668,0.01481435750053217,-0.623692014420456,-0.5653853689763663,-0.5369729618300086,-0.47866631638591894
balanced,PS,P2,8,18,-0.6040626547048135,999,-0.6289331587504837,-0.02487050404567026,0.011787501313355715,-0.6507769142123888,-0.6054072613847645,-0.6027180480248624,-0.5573483951972381
balanced,PS,P3,12,18,-0.7041165625395276,999,-0.6867612512136488,0.017355311325878753,0.02918035712913299,-0.7421433767258047,-0.6296904726822956,-0.7785426523967596,-0.6660897483532505
balanced,RD,P1,5,7,-0.658960824605082,999,-0.7240365982172657,-0.06507577361218375,0.013458495123838624,-0.7519120534446839,-0.697833756096509,-0.620087893113655,-0.56600959576548
balanced,RD,P2,8,9,-0.712907933141939,999,-0.7429078390776412,-0.02999990593570223,0.01272384844764771,-0.7676483613070357,-0.7158362727265912,-0.7099795935572868,-0.6581675049768423
balanced,RD,P3,12,9,-0.769886920518866,999,-0.7568630560473896,0.01302386447147641,0.029122463819778104,-0.8121304947484534,-0.6984856278925418,-0.8412882131451902,-0.7276433462892785
balanced,RN,P1,5,32,0.7007673370961209,999,0.7334639658420871,0.03269662874596613,0.013669608121326659,0.70665180132689,0.7596665549131384,0.6418681192791035,0.6948828728653519
balanced,RN,P2,8,32,0.6482822732682885,999,0.684657750770305,0.03637547750201653,0.012580733087191638,0.6591739976853956,0.7083003257846423,0.5882642207519346,0.6373905488511813
balanced,RN,P3,12,31,0.577325817741585,999,0.6166924973209323,0.03936667957934736,0.03280140604679269,0.5503848234825824,0.6796383968814128,0.47501323860175715,0.6042668120005875
balanced,UDI,P1,5,27,0.721541856809094,999,0.7562540474664199,0.03471219065732589,0.015044142611006452,0.7255290340010557,0.7830204554797895,0.6600632581383985,0.7175546796171323
balanced,UDI,P2,8,27,0.650840823750527,999,0.7030118177757505,0.052170994025223516,0.01726789728556213,0.6709318523708477,0.7364700833046918,0.5652115641963622,0.6307497951302062
