cohort,party,target_a,target_b,n_a,n_b,median_a,median_b,delta_b_minus_a
continuous,PC,P1,P2,7,7,-0.735586384401118,-0.804715620725597,-0.06912923632447898
continuous,PC,P1,P3,7,7,-0.735586384401118,-0.901322606148173,-0.16573622174705493
continuous,PC,P2,P3,7,7,-0.804715620725597,-0.901322606148173,-0.09660698542257595
continuous,PEV,P1,P2,1,1,-0.85883701866152,-0.895505235301001,-0.036668216639481055
continuous,PEV,P1,P3,1,1,-0.85883701866152,-0.944396190820311,-0.08555917215879105
continuous,PEV,P2,P3,1,1,-0.895505235301001,-0.944396190820311,-0.04889095551931
continuous,PH,P1,P2,1,1,-0.881183428520794,-0.923362924446435,-0.042179495925640964
continuous,PH,P1,P3,1,1,-0.881183428520794,-0.97960225234729,-0.09841882382649603
continuous,PH,P2,P3,1,1,-0.923362924446435,-0.97960225234729,-0.05623932790085506
continuous,PPD,P1,P2,4,4,-0.571914430204139,-0.6327796404110104,-0.06086521020687141
continuous,PPD,P1,P3,4,4,-0.571914430204139,-0.7139332540201725,-0.14201882381603348
continuous,PPD,P2,P3,4,4,-0.6327796404110104,-0.7139332540201725,-0.08115361360916207
continuous,PR,P1,P2,5,5,-0.345202449763322,-0.437225962224843,-0.09202351246152102
continuous,PR,P1,P3,5,5,-0.345202449763322,-0.559923978840204,-0.21472152907688197
continuous,PR,P2,P3,5,5,-0.437225962224843,-0.559923978840204,-0.12269801661536095
continuous,PRI,P1,P2,1,1,-0.648184850333521,-0.665608703422343,-0.017423853088821994
continuous,PRI,P1,P3,1,1,-0.648184850333521,-0.688840507540772,-0.04065565720725095
continuous,PRI,P2,P3,1,1,-0.665608703422343,-0.688840507540772,-0.023231804118428956
continuous,PS,P1,P2,17,17,-0.554784136373588,-0.606830700711562,-0.052046564337973944
continuous,PS,P1,P3,17,17,-0.554784136373588,-0.69756033345289,-0.142776197079302
continuous,PS,P2,P3,17,17,-0.606830700711562,-0.69756033345289,-0.09072963274132806
continuous,RD,P1,P2,7,7,-0.658960824605082,-0.706979031954483,-0.04801820734940099
continuous,RD,P1,P3,7,7,-0.658960824605082,-0.769886920518866,-0.110926095913784
continuous,RD,P2,P3,7,7,-0.706979031954483,-0.769886920518866,-0.06290788856438301
continuous,RN,P1,P2,26,26,0.7167656664086846,0.6526979235982905,-0.06406774281039407
continuous,RN,P1,P3,26,26,0.7167656664086846,0.5788023390076364,-0.1379633274010481
continuous,RN,P2,P3,26,26,0.6526979235982905,0.5788023390076364,-0.07389558459065404
continuous,UDI,P1,P2,22,22,0.7221332755509555,0.6838279387131105,-0.03830533683784498
continuous,UDI,P1,P3,22,22,0.7221332755509555,0.6332939042030685,-0.088839371347887
continuous,UDI,P2,P3,22,22,0.6838279387131105,0.6332939042030685,-0.050534034510042014
full,COMUNES,P1,P2,2,1,-0.825008541884477,-0.839725677005907,-0.014717135121429914
full,COMUNES,P1,P3,2,1,-0.825008541884477,-0.828296659615552,-0.0032881177310749576
full,COMUNES,P2,P3,1,1,-0.839725677005907,-0.828296659615552,0.011429017390354956
full,DC,P1,P2,15,14,-0.044760456162685,-0.1715803064734725,-0.1268198503107875
full,DC,P1,P3,15,14,-0.044760456162685,-0.34047036430029454,-0.29570990813760956
full,DC,P2,P3,14,14,-0.1715803064734725,-0.34047036430029454,-0.16889005782682204
full,EVOP,P1,P2,6,6,0.6782538439126959,0.6751764274662135,-0.003077416446482406
full,EVOP,P1,P3,6,6,0.6782538439126959,0.689692482330625,0.011438638417929026
full,EVOP,P2,P3,6,6,0.6751764274662135,0.689692482330625,0.014516054864411432
full,FRVS,P1,P2,1,1,-0.650312881306413,-0.639562775792681,0.010750105513732011
full,FRVS,P1,P3,1,1,-0.650312881306413,-0.625229301774373,0.02508357953203999
full,FRVS,P2,P3,1,1,-0.639562775792681,-0.625229301774373,0.014333474018307979
full,IND,P1,P2,13,11,-0.554388833335475,-0.532194455682746,0.022194377652728914
full,IND,P1,P3,13,11,-0.554388833335475,-0.775545381012329,-0.221156547676854
full,IND,P2,P3,11,11,-0.532194455682746,-0.775545381012329,-0.2433509253295829
full,LIBERAL,P1,P2,2,2,-0.5714371538763365,-0.6008448048626356,-0.02940765098629905
full,LIBERAL,P1,P3,2,2,-0.5714371538763365,-0.6400550061777015,-0.06861785230136497
full,LIBERAL,P2,P3,2,2,-0.6008448048626356,-0.6400550061777015,-0.03921020131506592
full,PC,P1,P2,8,8,-0.7357652976836899,-0.8065372379271535,-0.07077194024346356
full,PC,P1,P3,8,8,-0.7357652976836899,-0.9007285965413125,-0.16496329885762262
full,PC,P2,P3,8,8,-0.8065372379271535,-0.9007285965413125,-0.09419135861415906
full,PCS,P2,P3,2,1,-0.7660638571094265,-0.772951210860945,-0.006887353751518499
full,PEV,P1,P2,1,1,-0.85883701866152,-0.895505235301001,-0.036668216639481055
full,PEV,P1,P3,1,1,-0.85883701866152,-0.944396190820311,-0.08555917215879105
full,PEV,P2,P3,1,1,-0.895505235301001,-0.944396190820311,-0.04889095551931
full,PH,P1,P2,3,2,-0.899887491424543,-0.90519762497366,-0.005310133549116913
full,PH,P1,P3,3,2,-0.899887491424543,-0.9222385018021866,-0.022351010377643532
full,PH,P2,P3,2,2,-0.90519762497366,-0.9222385018021866,-0.01704087682852662
full,PPD,P1,P2,6,7,-0.498370304473027,-0.563762217404413,-0.06539191293138602
full,PPD,P1,P3,6,7,-0.498370304473027,-0.725096992476606,-0.22672668800357898
full,PPD,P2,P3,7,7,-0.563762217404413,-0.725096992476606,-0.16133477507219296
full,PR,P1,P2,6,6,-0.2330479200152035,-0.3028728080782735,-0.06982488806307
full,PR,P1,P3,6,6,-0.2330479200152035,-0.44982209157550646,-0.21677417156030296
full,PR,P2,P3,6,6,-0.3028728080782735,-0.44982209157550646,-0.14694928349723296
full,PRI,P1,P2,1,1,-0.648184850333521,-0.665608703422343,-0.017423853088821994
full,PRI,P1,P3,1,1,-0.648184850333521,-0.688840507540772,-0.04065565720725095
full,PRI,P2,P3,1,1,-0.665608703422343,-0.688840507540772,-0.023231804118428956
full,PRO,P2,P3,1,1,-0.807806208531565,-0.908890778604038,-0.10108457007247296
full,PS,P1,P2,18,18,-0.5511791654031875,-0.6040626547048135,-0.05288348930162601
full,PS,P1,P3,18,18,-0.5511791654031875,-0.7041165625395276,-0.15293739713634014
full,PS,P2,P3,18,18,-0.6040626547048135,-0.7041165625395276,-0.10005390783471413
